node,is_victim,pagerank,victim_connection_weight,degree,strength
Adam,0,0.007353360124741426,0,13,22.0
Affleck,0,0.0036680057444113384,0,5,6.0
Astin,0,0.0034211608767036033,0,2,2.0
Barbra,0,0.003140817864752593,0,2,5.0
Barlow,0,0.0019542260779434307,0,1,1.0
Bell,0,0.003854065017519068,0,8,9.0
Bohemian,0,0.007718826181070755,0,11,19.0
Bonham Lautner,0,0.0048395435046573185,0,4,8.0
Boomer,0,0.01578017944066109,0,16,54.0
Boomer Gere,0,0.02108625269149289,0,22,72.0
Bradbury Cruz,0,0.0048395435046573185,0,4,8.0
Brown,0,0.004146236107149178,0,5,5.0
Caine,0,0.003966181048945373,0,1,1.0
Campbell,0,0.001956204616299075,0,1,1.0
Channing Streep,0,0.0038198046642611075,0,3,8.0
Charles Banks,0,0.007436701522211804,0,8,17.0
Charles Dunaway,0,0.018712634776908033,0,16,70.0
Charles Elgort,0,0.043316458161223814,0,27,143.0
Charles Goodman Ashley,0,0.012082315858300751,0,14,42.0
Charles Rourke,0,0.043751150255761116,0,28,144.0
Charles Sandler,0,0.06485906603984169,0,24,248.0
Charles.,0,0.045719995576245294,0,42,148.0
Charles. Burrows Jason,0,0.05051526334539052,3,32,184.0
Charles. Calloway,0,0.0063968983878815305,0,8,17.0
Charles. Costner,0,0.004404614961606757,0,4,10.0
Charles. Diaz,0,0.022798682900172926,0,22,77.0
Collette,0,0.006058322838037305,3,9,15.0
Collette Deschanel,0,0.03143149068257164,0,28,107.0
Collette Jason,1,0.0034344490194219354,0,2,6.0
Cooper,0,0.0019664277829594995,0,1,1.0
Crowe,0,0.008306227785710042,0,9,25.0
Cummings,0,0.008123588960901436,0,10,20.0
D'arcy,0,0.0019862944472614835,0,1,1.0
Dano,0,0.0022320009032204442,0,2,2.0
Delaney,0,0.006717108485805628,0,8,18.0
Deschanel Mckellen,0,0.0036532989488173516,0,5,8.0
Downey,0,0.011363636363636364,0,1,1.0
Elliott,0,0.004448900069719558,0,8,11.0
Elliott Bruce,0,0.033846744123843725,0,25,112.0
Elliott Zane,0,0.03474110495656291,0,21,135.0
Ellis Bening,0,0.0024792986910799142,0,1,3.0
Ellis Dicaprio,0,0.019556866983819556,0,16,59.0
Gadot,0,0.0020299521096764743,0,1,1.0
Garfunkel,0,0.0026427299037154427,0,2,2.0
Gaye,0,0.0019418372723847511,0,1,1.0
Giamatti,0,0.0034211608767036033,0,2,2.0
Goodman,0,0.0644520844073511,0,34,238.0
Green,0,0.0034163542244250262,0,4,5.0
Gyllenhaal,0,0.002049786503486261,0,1,1.0
Harrelson,0,0.01042462653056541,0,13,25.0
Harrelson Cruz,0,0.009220171855945451,0,10,21.0
Hathaway,0,0.003293273213916305,0,5,6.0
Hemsworth,0,0.003772097176993527,0,5,8.0
Hill,0,0.007301436136170563,0,9,18.0
Hutton,0,0.007455550798186322,0,12,20.0
James,0,0.07006119804034902,0,34,251.0
James Rudd,0,0.002179129090224047,0,1,2.0
Jason Burrows,0,0.01039679570064407,0,11,35.0
Johansson,0,0.008976464856790815,0,10,27.0
Jolie,0,0.005861149811760828,0,7,15.0
Lamarr (Chappelle),0,0.023724855983134556,0,20,77.0
Lawrence Behar,0,0.0043027772338716935,0,4,9.0
Lee,0,0.0020299521096764743,0,1,1.0
Lewis Bruce,0,0.002881074912631596,0,4,4.0
Mccarthy,0,0.002937889390276554,0,4,4.0
Mcgregor,0,0.004529683256608019,0,7,10.0
Morgan,0,0.002249688896851996,0,2,2.0
O'neal,0,0.004545657848692412,0,7,10.0
Parker,0,0.002626929038177116,0,2,4.0
Pattinson,0,0.011363636363636364,0,1,1.0
Pitt,0,0.002216795787613735,0,2,2.0
Roberts,0,0.009883967380211514,0,14,28.0
Rourke Lewis,0,0.001962796533390275,0,1,1.0
Sarandon,0,0.005321922586132073,0,2,2.0
Segel Barrymore,0,0.0022925218193467784,0,2,2.0
Swift,0,0.01593901722773754,0,16,49.0
Swift Lamarr,0,0.012418451062654188,0,11,38.0
Teller,0,0.022585625988579987,0,26,59.0
Turner,0,0.006366002522955838,0,11,18.0
Turner Hall,0,0.0037982532204576354,0,7,8.0
Tyrese,0,0.0034520366173358932,0,6,6.0
Watanabe,0,0.002239282369122125,0,2,2.0
Wilkins,0,0.003940002741957219,0,6,8.0
Winfrey,0,0.00238717802726894,0,2,3.0
Wood,0,0.0029524215729937967,0,3,4.0
Young,0,0.024049436769811125,0,32,80.0
Zane Jason,0,0.002156619376301108,0,2,2.0
Zeta,0,0.004065774559105823,0,5,7.0
