character1,character2,count
Gaston de Clameran,M. Raoul,53
M. Raoul,Mlle. Madeleine Fauvel,37
M. Gaston,Mlle. Valentine,30
M. Louis,M. Raoul,29
Monsieur Verduret,Prosper,28
Gaston de Clameran,M. Louis,25
Mlle. Madeleine,Mlle. Madeleine Fauvel,25
M. Gaston,M. Louis,24
M. Raoul,Mlle. Madeleine,24
Monsieur Prosper Bertomy,Prosper,24
Mlle. Madeleine,Prosper,23
Gaston de Clameran,M. Gaston,22
Mlle. Madeleine Fauvel,Prosper,21
Gaston de Clameran,Mlle. Madeleine,20
M. Raoul,M. Raoul de Lagors,20
M. Raoul,Prosper,18
Andre,Mlle. Madeleine Fauvel,16
Joseph,Joseph Dubois,16
M. Andre Fauvel,Mlle. Madeleine Fauvel,16
Gaston de Clameran,Louis de Clameran,15
Gaston de Clameran,Mlle. Madeleine Fauvel,15
Louis de Clameran,M. Louis,15
Mme. Nina,Mme. Nina Gypsy,15
Andre,M. Andre Fauvel,13
Gaston de Clameran,M. Raoul de Lagors,13
Monsieur,Prosper,13
Mme. Nina,Prosper,11
Fanferlot the Squirrel,M. Fanferlot,10
M. Cavaillon,Prosper,10
M. Raoul de Lagors,Mlle. Madeleine,10
M. Fanferlot,Mme. Nina Gypsy,9
M. Raoul,paris,9
M. Fanferlot,Prosper,8
Mlle. Madeleine Fauvel,Monsieur,8
Mlle. Valentine,Valentine de la Verberie,8
Gaston de Clameran,Monsieur,7
Gaston de Clameran,Monsieur Verduret,7
M. Gaston,Monsieur,7
M. Louis,paris,7
Mlle. Palmyre,Palmyre Chocareille,7
Abel,M. Lucien,6
Gaston de Clameran,Joseph,6
Gaston de Clameran,Mlle. Valentine,6
Jules Lazet,M. Gaston,6
M. Louis,oloron,6
Mlle. Madeleine,Monsieur,6
Mme. Nina Gypsy,Prosper,6
Gaston de Clameran,oloron,5
Joseph,M. Louis,5
Joseph,Monsieur Verduret,5
M. Cavaillon,M. Fanferlot,5
M. Cavaillon,Mme. Nina Gypsy,5
M. Fanferlot,M. Lecoq,5
M. Gaston,M. Raoul,5
M. Gaston,Pere Menoul,5
M. Gaston,god,5
M. Louis,Mihonne,5
M. Louis,opportunity,5
M. Raoul,Vesinet,5
Mlle. Madeleine Fauvel,Mlle. Valentine,5
Mlle. Valentine,paris,5
Andre,Mlle. Valentine,4
Beaucaire,Mlle. Valentine,4
Fougeroux,Joseph,4
Gaston de Clameran,Joseph Dubois,4
Gaston de Clameran,Prosper,4
Joseph Dubois,M. Fanferlot,4
M. Gaston,Mlle. Madeleine Fauvel,4
