canonical_name,alias_name
Judge and Mrs. Tyson,Tyson
Judge and Mrs. Tyson,Judge Tyson
Mlle. Palmer DeLisle,Palmer DeLisle
Mr. Akerman Capshaw,Akerman Capshaw
Dickinson Ruffalo,Ruffalo
Dickinson Ruffalo,Mr. Ruffalo
Miss Jackman Rapp,Rapp
Miss Jackman Rapp,Miss Rapp
Miss Jackman Rapp,Jackman Rapp
Gyllenhaal Tyson,Mrs. Tyson
Mr. Black Cobain,Cobain
Mr. Black Cobain,Mr. Cobain
Mr. Black Cobain,Black Cobain
Mr. Pitt Ruffalo,Pitt Ruffalo
Miss Zane Smith,Miss Smith
Miss Zane Smith,Zane Smith
James Garfunkel,Garfunkel
James Garfunkel,Miss Garfunkel
Phillips Taika,Taika
Phillips Taika,Mr. Taika
Quaid Davidson,Davidson
Quaid Davidson,Mrs. Davidson
Hawke Williams,Williams
Mr.--Mr. Diaz,Diaz
Mr.--Mr. Diaz,Mr. Diaz
Elgort Thomas,Thomas
Elgort Thomas,Miss Thomas
Akerman Kline,Kline
Affleck Scott,Scott
Segel Larkin,Larkin
Pearson Depp,Depp
Pearson Depp,Mr. Depp
Madame Lewis,Lewis
Brolin Diaz,Mrs. Diaz
X Roberts,Roberts
X Roberts,Mr. Roberts
Scott Ice,Ice
Scott Ice,Miss Ice
Aunt Bach,Bach
Miss Brolin,Brolin
Mrs. Hart,Hart
Mr. Penn,Penn
Jolie',Jolie
