canonical_name,alias_name
To ETHEL PETTIT ROCHE,
MY DEAR MR. Kavita,
MY DEAR MR. Kavita,Kavita
MY DEAR MR. Kavita,Mr. Kavita
Heberworth Building elevator-man,
Mlle. Manisha DeLisle,
Mlle. Manisha DeLisle,Manisha DeLisle
Annie R. McGuire,
Mademoiselle DeLisle,
Priyadarshan Shubham,
Priyadarshan Shubham,Shubham
Mrs. Shubham,
Mr. Shubham,
Miss Kalyani Ronit,
Miss Kalyani Ronit,Ronit
Miss Kalyani Ronit,Miss Ronit
Miss Kalyani Ronit,Kalyani Ronit
Mr. Sohail Ritesh,
Mr. Sohail Ritesh,RITESH
Mr. Sohail Ritesh,Ritesh
Mr. Sohail Ritesh,Mr. Ritesh
Mr. Sohail Ritesh,Sohail Ritesh
Sidharth Sheridan,
Madhavan Shubham,
Alia-Kavya Harsh,
Alia-Kavya Harsh,Harsh
Alia-Kavya Harsh,Miss Harsh
Sonakshi Tanmay,
Sonakshi Tanmay,TANMAY
Sonakshi Tanmay,Tanmay
Sonakshi Tanmay,Mr. Tanmay
Thompson Street,
Mrs. Sahil Asin,
Mrs. Sahil Asin,Asin
Mrs. Sahil Asin,Mrs. Asin
Sidharth Ritesh,
Anushka Shubham,
Noblesse oblige,
Mohanlal Ritesh,
Mr. Manas Ekta,
Mr. Manas Ekta,Manas Ekta
Vishal Karisma,
Vinita Anirudh,
Dean Cornwell,
Nidhi Bhavesh,
Prithvi Karun,
Swara DeLisle,
Roshan Larkin,
Roshan Larkin,Larkin
Ruchi Sameera,
Ruchi Sameera,Sameera
Ruchi Sameera,Mr. Sameera
Rekha Taapsee,
Madame Meenal,
Madame Meenal,Meenal
Urmila Jones,
Kirti Arvind,
Kirti Arvind,Arvind
Kirti Arvind,Miss Arvind
Sanjay Komal,
Sanjay Komal,KOMAL
Sanjay Komal,Komal
Gauri Neeraj,
Komal Deanes,
Urmila Sonam,
Urmila Sonam,Sonam
Urmila Sonam,Mr. Sonam
Meher (Mrs.),
Sonam Films,
Clancy Dean,
Carey Deman,
Komal Payal,
Komal Payal,Payal
Komal Payal,Miss Payal
Vinay Gully,
Vinay Gully,Gully
Vinay Gully,Miss Gully
Kavya Harsh,
Hina Mitali,
Hina Mitali,Mitali
Hina Mitali,Mr. Mitali
Vicky Krish,
Manas Saket,
Manas Saket,Saket
Farhan boy,
Aunt Rani,
Aunt Rani,Rani
New York,
Miss Anushka,
Miss Anushka,Anushka
Mrs. Kuldeep,
Priyadarshan,
Judge Meher,
Judge Meher,Meher
Mrs. Meher,
Mrs. Shubh,
Jefferson,
Parineeti,
Landseer,
Yashwant,
Sidewise,
Madhavan,
Parvathy,
Shraddha,
Sidharth,
Sonakshi,
Tuesday,
Karthik,
Lavanya,
Timidly,
Manisha,
Radhika,
Zeeshan,
Anjenoo,
Garnsey,
Kalyani,
Roshan,
Trevor,
Raghav,
Ragans,
Sohail,
Akshay,
Shilpa,
Salman,
Mahesh,
Shahid,
Urmila,
Sameer,
Ranbir,
Pranav,
Ramesh,
Mukesh,
Tushar,
Pramod,
Sakshi,
Janhvi,
Roscoe,
Sneha,
Kirti,
Rajat,
Ruchi,
Manas,
Fawad,
Tanvi,
Dhruv,
Kavya,
Vidya,
Vinay,
Manon,
Saira,
Maine,
Yani,
Hema,
Lips,
Amol,
Hina,
Yash,
Tabu,
Soil,
Lars,
Cat,
arthur,
philip,
deane,
grannis,
ladue,
morris,
beiner,
napoli,
paul,
frank,
miller,
hetty,
fanchon,
stephen,
burgess,
fay,
marston,
cl,
florine,
ziegfeld,
flo,
ike,
weber,
webers,
branwyn,
bruce,
fairchild,
zenda,
mabel,
penniman,
griffin,
lallo,
lal,
randall,
david,
maggie,
smith,
hildebloom,
amachoor,
fanny,
lemuel,
burkan,
fred,
garbey,
mary,
simon,
gerand,
vi,
sophie,
jennie,
sally,
henderson,
zenith,
guernsey,
god,
conover,
care,
gerund,
don,
tom,
walbrough,
vandervent,
a,
mortimer,
darnleigh,
cavanagh,
phil,
donald,
xviii,
spofford,
walbroughs,
martha,
farrar,
darcy,
johansen,
xxiv,
rayburn,
tommy,
fate,
ragan,
maria,
xxvii,
garland,
hebron,
hinsdale,
nev,
sam,
jack,
henty,
penwell,
sage,
