character1,character2,count
Kajol Santhosh,Krish Kiran,5
Kajol Santhosh,Sunny Kuldeep,4
Inspector Pallavi,Kriti,3
Kajol Santhosh,Vicky Pranav,3
Dr. Chandan,Mr. Prerna,2
Inspector Pallavi,Mr. Prerna,2
Krish Kiran,Sunny Kuldeep,2
Lavanya,Sunny Kuldeep,2
Chaitanya,Mr. Chaitanya Ronit,1
Disha,Mr. Sanjeev Shubham,1
Disha,Roshan,1
Kajol Santhosh,Kriti,1
Kajol Santhosh,Mr. Sanjeev Shubham,1
Kriti,Sunny Kuldeep,1
Leena,Vicky Pranav,1
Mr. Prerna,Mr. Sanjeev Shubham,1
Mr. Prerna,Vicky Pranav,1
Mr. Sanjeev Shubham,Roshan,1
