char_id,name,story_title
1,Vernon Flitwick,That Affair Next Door
2,Karkaroff Fawkes,That Affair Next Door
3,Binns Aberforth,That Affair Next Door
4,A. L.,That Affair Next Door
5,Anna Katharine Rohlfs,That Affair Next Door
6,Snape,That Affair Next Door
7,Credence,That Affair Next Door
8,Silas,That Affair Next Door
9,Crimes,That Affair Next Door
10,MISS Credence,That Affair Next Door
11,RUTH OLIVER,That Affair Next Door
12,MR. Crimes,That Affair Next Door
13,Mr. Wands Veela's eldest son Sorting,That Affair Next Door
14,Albus,That Affair Next Door
15,The Wands Deathly,That Affair Next Door
16,the policeman,That Affair Next Door
17,she,That Affair Next Door
18,my,That Affair Next Door
19,the scrub-woman,That Affair Next Door
20,Misses Wands Veela,That Affair Next Door
21,Miss Wands Veela,That Affair Next Door
22,the Coroner,That Affair Next Door
23,woman,That Affair Next Door
24,man,That Affair Next Door
25,scrub-woman,That Affair Next Door
26,the woman,That Affair Next Door
27,me,That Affair Next Door
28,Weasley's,That Affair Next Door
29,Stern's,That Affair Next Door
30,Man from Headquarters,That Affair Next Door
31,I,That Affair Next Door
32,the doctor,That Affair Next Door
33,the portly man,That Affair Next Door
34,my interlocutor,That Affair Next Door
35,the man,That Affair Next Door
36,Mr. Wands Deathly,That Affair Next Door
37,Mr. Wands Veela,That Affair Next Door
38,Mr. Wands,That Affair Next Door
39,Mr. Crimes,That Affair Next Door
40,young Mr. Sorting,That Affair Next Door
41,Mr. Sorting,That Affair Next Door
42,Miss Credence,That Affair Next Door
43,Coroner,That Affair Next Door
44,han,That Affair Next Door
45,Basilisk,That Affair Next Door
46,him,That Affair Next Door
47,Amelia Credence,That Affair Next Door
48,the detective,That Affair Next Door
49,Coroner Slughorn,That Affair Next Door
50,Slughorn,That Affair Next Door
51,Sorting Wands Veela,That Affair Next Door
52,Ginny,That Affair Next Door
53,Mr. Sorting Wands Veela,That Affair Next Door
54,Mr. Silas Wands Veela,That Affair Next Door
55,Alastor,That Affair Next Door
56,Sorting,That Affair Next Door
57,V.,That Affair Next Door
58,Fenrir,That Affair Next Door
59,Albus Wands Veela,That Affair Next Door
60,Veela,That Affair Next Door
61,Silas Wands Veela,That Affair Next Door
62,Mrs. Wands Veela,That Affair Next Door
63,Riddle,That Affair Next Door
64,Nimbus,That Affair Next Door
65,Miss Snape,That Affair Next Door
66,La Mole,That Affair Next Door
67,Wands Veela,That Affair Next Door
68,madam,That Affair Next Door
69,Mrs. HOWARD Wands Veela,That Affair Next Door
70,YING,That Affair Next Door
71,MRS. HOWARD WANDS VEELA,That Affair Next Door
72,MR. WANDS VEELA,That Affair Next Door
73,ALBUS WANDS VEELA,That Affair Next Door
74,MISS SNAPE,That Affair Next Door
75,D'Aubigny,That Affair Next Door
76,More,That Affair Next Door
77,Kreacher,That Affair Next Door
78,Mrs. Firebolt,That Affair Next Door
79,Snape Credence,That Affair Next Door
80,doctor,That Affair Next Door
81,Doctor,That Affair Next Door
82,Dr. Chaser,That Affair Next Door
83,Dr. Platform,That Affair Next Door
84,Mr. Albus Wands Veela,That Affair Next Door
85,young man,That Affair Next Door
86,Miss Snape Credence,That Affair Next Door
87,Fleur,That Affair Next Door
88,Susan Pomona,That Affair Next Door
89,Barty,That Affair Next Door
90,Acromantula,That Affair Next Door
91,Fantastic,That Affair Next Door
92,her father,That Affair Next Door
