character1,character2
Mr. Franklin Wands Veela,Mr. Silas Wands Veela
Mr. Franklin Wands Veela,Albus Wands
Mr. Silas Wands Veela,Albus Wands
Ebenezer Crimes,Miss Snape
Mr. Franklin Wands Veela,Mrs. HOWARD Wands Veela
Albus Wands,Mrs. HOWARD Wands Veela
Ebenezer Crimes,Miss Snape Credence
Mr. Franklin Wands Veela,Mr. Sorting
Albus Wands,Mr. Sorting
Mr. Franklin Wands Veela,Mr. Sorting Wands Veela
Albus Wands,Mr. Sorting Wands Veela
Mr. Sorting,Mr. Sorting Wands Veela
Albus Wands,The Wands Deathly
Fenrir Wands Veela,Albus Wands
Fenrir Wands Veela,Mr. Franklin Wands Veela
Albus Wands,Mr. Franklin Wands Veela
Mr. Sorting,Miss Snape Credence
Mr. Franklin Wands Veela,Mrs. Albus Wands Veela
Mrs. Albus Wands Veela,Albus Wands
Mr. Franklin Wands Veela,Where Hat
Albus Wands,Where Hat
Miss Snape Credence,Miss Snape
Ebenezer Crimes,Where Hat
Where Hat,Miss Acromantula
Dennis Witchcraft,Ella Pansy
Miss Snape Credence,Miss Acromantula
Ella Pansy,Where Hat
Ella Pansy,Miss Acromantula
Ella Pansy,Phoenix Goblet
Mrs. Albus Wands Veela,Where Hat
Mr. Franklin Wands Veela,Ella Pansy
Albus Wands,Ella Pansy
Mr. Sorting,Albus Wands
Mr. Sorting,The Wands Deathly
Mr. Franklin Wands Veela,Ebenezer Crimes
Ebenezer Crimes,Mr. Silas Wands Veela
Ebenezer Crimes,Albus Wands
Mr. Franklin Wands Veela,Miss Snape Credence
Albus Wands,Miss Snape Credence
Mr. Sorting,Phoenix Goblet
Mr. Sorting,Mr. Franklin Wands Veela
Miss Snape Credence,Mr. Sorting Wands Veela
Ella Pansy,Miss Snape Credence
Ella Pansy,Mrs. Pope
Miss Snape Credence,Mrs. Pope
Mr. Silas Wands Veela,Mr. Sorting
Jane Molly,Mr. Sorting
Mr. Sorting,Where Hat
Where Hat,Remus Colin
Mr. Franklin Wands Veela,Phoenix Goblet
Albus Wands,Phoenix Goblet
Ebenezer Crimes,Ella Pansy
Ebenezer Crimes,Phoenix Goblet
Where Hat,Phoenix Goblet
Dennis Witchcraft,Phoenix Goblet
Dennis Witchcraft,Crumplehorn Dennis
Mr. Sorting,Dennis Witchcraft
Mr. Sorting,Crumplehorn Dennis
Dennis Witchcraft,Mr. Franklin Wands Veela
Dennis Witchcraft,Albus Wands
Dennis Witchcraft,Mr. Sorting Wands Veela
Mr. Franklin Wands Veela,Crumplehorn Dennis
Albus Wands,Crumplehorn Dennis
Crumplehorn Dennis,Mr. Sorting Wands Veela
Ella Pansy,Crumplehorn Dennis
Mr. Sorting,Ebenezer Crimes
Ebenezer Crimes,Mr. Sorting Wands Veela
