character1,character2,count
Mr. Belle,Mrs. HOWARD O By,38
Mr. Shell,Mrs. HOWARD O By,35
Mr. Belle,Mr. Belle O By,34
Mr. Belle O By,Mrs. HOWARD O By,34
Althorpe O By,Mrs. HOWARD O By,25
Mr. Shell,Mrs. Shell O By,25
Mrs. HOWARD O By,Mrs. Shell O By,25
Althorpe,Althorpe O By,21
Althorpe,Mrs. HOWARD O By,21
Misses O By,Mrs. HOWARD O By,16
Mr. Belle,Mr. Shell,15
Cunningham,Mrs. Cunningham Lalee,14
Anna,Franklin O Burnam,9
Fanny Ferguson,Miss Ferguson Fanny,8
Susie,Susie Bertha,8
Mr. Silas O By,Mrs. HOWARD O By,7
Mr. Silas O By,Silas,7
Mrs. HOWARD O By,Silas,7
Ebenezer Pigot,Miss Ferguson Fanny,5
Ella The,James Green,5
Anna,Miss Howard,4
Ebenezer Pigot,Fanny Ferguson,4
Ebenezer Pigot,taken,4
Ella The,John Poe,4
Ella The,Mrs. HOWARD O By,4
Louise,Susan Jacobs,4
Miss Ferguson Fanny,Mr. Belle,4
Mr. Belle O By,Mr. Shell,4
Mr. Shell,taken,4
Bertha Desberger,Susie,3
Bertha Desberger,Susie Bertha,3
Butterworth,John Poe,3
Callahan,Fanny Ferguson,3
Ebenezer Pigot,Ella The,3
Ebenezer Pigot,James Green,3
Ella The,Miss Ferguson Fanny,3
James Green,taken,3
Louise,Mrs. HOWARD O By,3
Miss Ferguson Fanny,Mr. Shell,3
Miss Ferguson Fanny,Mrs. HOWARD O By,3
Miss Howard,Mrs. HOWARD O By,3
Mrs. HOWARD O By,taken,3
Mrs. Pope,Pope Bertha,3
O Campbell,taken,3
Ruth,Ruth Oliver,3
Althorpe,Ella The,2
Althorpe,Misses O By,2
Althorpe,Mr. Shell,2
Althorpe O By,Ella The,2
Althorpe O By,Misses O By,2
Anna,Mr. Belle,2
Anna,Mr. Shell,2
Anna,taken,2
Bertha Desberger,Ella The,2
Bertha Desberger,James Green,2
Bertha Desberger,Mr. Belle,2
Butterworth,Isabella,2
Butterworth,Miss Ferguson Fanny,2
Ebenezer Pigot,Mr. Brown,2
Ebenezer Pigot,Mr. Shell,2
Ebenezer Pigot,Mrs. HOWARD O By,2
Ella The,Gown,2
Ella The,Miss Howard,2
Ella The,Misses O By,2
Ella The,Mr. Shell,2
Franklin O Burnam,Miss Howard,2
James Green,John Poe,2
Madonna,xiii,2
Miss Althorpe Seth,Mr. Shell,2
Miss Ferguson Fanny,Miss Howard,2
Miss Ferguson Fanny,Mr. Belle O By,2
Mr. Brown,Mr. Shell,2
Mr. Brown,Mrs. HOWARD O By,2
Mr. Brown,taken,2
Althorpe,Miss Althorpe Seth,1
Althorpe,Mrs. Shell O By,1
Althorpe O By,Mr. Shell,1
Althorpe O By,Mrs. Shell O By,1
Alvord,Cunningham,1
Alvord,Ebenezer Pigot,1
Alvord,Louise,1
Alvord,Mr. Belle,1
Alvord,Mrs. Cunningham Lalee,1
Alvord,Mrs. HOWARD O By,1
Anna,Mr. Rohlfs,1
Bertha Desberger,Miss Howard,1
Bertha Desberger,Mr. Belle O By,1
Bertha Desberger,Mr. Shell,1
Bertha Desberger,Mrs. HOWARD O By,1
Burnam O By,Franklin O Burnam,1
Burnam O By,Mrs. HOWARD O By,1
Butterworth,Ebenezer Pigot,1
Butterworth,James Green,1
Butterworth,Miss Howard,1
Butterworth,Stone,1
D'Aubigny,Franklin O Burnam,1
Ebenezar,Ebenezer Pigot,1
Ebenezer,Ebenezer Pigot,1
Ebenezer Pigot,Mr. Belle,1
Ebenezer Pigot,Mr. Belle O By,1
Ebenezer Pigot,Mr. Silas O By,1
Ebenezer Pigot,Silas,1
Ella The,Mrs. Pope,1
Ella The,Susie,1
Ella The,Susie Bertha,1
Ella The,providence,1
Ella The,taken,1
Fanny Ferguson,iv,1
Franklin O Burnam,Mr. Shell,1
Franklin O Burnam,Mrs. HOWARD O By,1
Gown,James Green,1
Gown,taken,1
James Green,Mr. Belle,1
James Green,Mrs. HOWARD O By,1
Jane Aback,Mr. Belle,1
Miss Althorpe Seth,Miss Boppert,1
Miss Althorpe Seth,Mr. Belle,1
Miss Althorpe Seth,Mrs. HOWARD O By,1
Miss Althorpe Seth,Mrs. Shell O By,1
Miss Ferguson Fanny,Mr. Brown,1
Miss Ferguson Fanny,Mrs. Pope,1
Miss Howard,Mr. Shell,1
Misses O By,Mr. Shell,1
Misses O By,Stone,1
Mr. Belle,Mr. Silas O By,1
Mr. Belle,O Campbell,1
Mr. Belle,Silas,1
Mr. Belle,Susie,1
Mr. Belle,Susie Bertha,1
Mr. Belle O By,Susie,1
Mr. Belle O By,Susie Bertha,1
Mr. Shell,O Campbell,1
Mr. Shell,Susie,1
Mr. Shell,Susie Bertha,1
Mrs. HOWARD O By,Stone,1
Mrs. HOWARD O By,Susie,1
Mrs. HOWARD O By,Susie Bertha,1
Mrs. Pope,taken,1
Mrs. Shell O By,taken,1
Pope Bertha,taken,1
Sibley,Stone,1
Susie,providence,1
Susie Bertha,providence,1
taken,xxxviii,1
