char_id,name,story_title
1,ANNA KATHARINE GREEN,That Affair Next Door
2,ANNA KATHARINE ROHLFS,That Affair Next Door
3,Suzanne Shell,That Affair Next Door
4,Josephine Paolucci,That Affair Next Door
5,A. L. BURT,That Affair Next Door
6,G. P. PUTNAM'S SONS,That Affair Next Door
7,Miss Butterworth,That Affair Next Door
8,Amelia,That Affair Next Door
9,Silas Van Burnam,That Affair Next Door
10,Howard Van Burnam,That Affair Next Door
11,Mr. Gryce,That Affair Next Door
12,Ruth Oliver,That Affair Next Door
13,Mr. Van Burnam,That Affair Next Door
14,Franklin,That Affair Next Door
15,Franklin Van Burnam,That Affair Next Door
16,Howard,That Affair Next Door
17,Van Burnam,That Affair Next Door
18,The Policeman,That Affair Next Door
19,The Young Woman,That Affair Next Door
20,policeman,That Affair Next Door
21,scrub-woman,That Affair Next Door
22,Misses Van Burnam,That Affair Next Door
23,Miss Van Burnam,That Affair Next Door
24,Coroner,That Affair Next Door
25,Dresden,That Affair Next Door
26,the woman,That Affair Next Door
27,the policeman,That Affair Next Door
28,Man from Headquarters,That Affair Next Door
29,Doctor,That Affair Next Door
30,the Doctor,That Affair Next Door
31,the Cleaner,That Affair Next Door
32,the Woman,That Affair Next Door
33,young Mr. Franklin,That Affair Next Door
34,Mr. Franklin,That Affair Next Door
35,Butterworth,That Affair Next Door
36,Gryce,That Affair Next Door
37,Araminta,That Affair Next Door
38,Amelia Butterworth,That Affair Next Door
39,I,That Affair Next Door
40,the detective,That Affair Next Door
41,the Coroner,That Affair Next Door
42,the doctor,That Affair Next Door
43,Coroner Dahl,That Affair Next Door
44,Mr. Silas Van Burnam,That Affair Next Door
45,Father,That Affair Next Door
46,Isabella,That Affair Next Door
47,Caroline,That Affair Next Door
48,Fanny Preston,That Affair Next Door
49,Mr Gryce,That Affair Next Door
50,the young man,That Affair Next Door
51,Mrs. Van Burnam,That Affair Next Door
52,Louise,That Affair Next Door
53,Haddam,That Affair Next Door
54,Miss Amelia,That Affair Next Door
55,the young ladies,That Affair Next Door
56,the Misses Van Burnam,That Affair Next Door
57,madam,That Affair Next Door
58,Mrs. Howard Van Burnam,That Affair Next Door
59,Mr. Howard Van Burnam,That Affair Next Door
