char_id,name,story_title
1,Foster,The Adventure of Black Peter
2,Duke of Holdernesse,The Adventure of Black Peter
3,Cardinal Adele,The Adventure of Black Peter
4,His Holiness the Pope,The Adventure of Black Peter
5,Wayans,The Adventure of Black Peter
6,Corbin's Hawke,The Adventure of Black Peter
7,Captain Lee Morgan,The Adventure of Black Peter
8,Captain Beckham,The Adventure of Black Peter
9,Swift,The Adventure of Black Peter
10,Gaye,The Adventure of Black Peter
11,Corbin,The Adventure of Black Peter
12,Stanley Gaye,The Adventure of Black Peter
13,Dr. Swift,The Adventure of Black Peter
14,Lee Morgan,The Adventure of Black Peter
15,Hiddleston Lee,The Adventure of Black Peter
16,Mr. Foster,The Adventure of Black Peter
17,Bergman,The Adventure of Black Peter
18,Sherlock Foster,The Adventure of Black Peter
19,Black Lee Morgan,The Adventure of Black Peter
20,Pitt,The Adventure of Black Peter
21,Gyllenhaal Bruce,The Adventure of Black Peter
22,Hathaway,The Adventure of Black Peter
23,Bruce,The Adventure of Black Peter
24,Blythe,The Adventure of Black Peter
25,O'brien,The Adventure of Black Peter
26,Mrs. Blythe,The Adventure of Black Peter
27,Ribston,The Adventure of Black Peter
28,Zeta Roberts,The Adventure of Black Peter
29,Delaney Aniston,The Adventure of Black Peter
30,Tyson Pryor,The Adventure of Black Peter
31,Harpooner,The Adventure of Black Peter
32,Dundee,The Adventure of Black Peter
