char_id,name,story_title
1,Mr. Eileen Aberforth,The Adventure of Charles Augustus Milverton
2,Draco Katie,The Adventure of Charles Augustus Milverton
3,Katie,The Adventure of Charles Augustus Milverton
4,Lady Child Veela,The Adventure of Charles Augustus Milverton
5,Earl of Bowtruckle,The Adventure of Charles Augustus Milverton
6,Mr. Keeper,The Adventure of Charles Augustus Milverton
7,Aberforth,The Adventure of Charles Augustus Milverton
8,Dr. Snitch,The Adventure of Charles Augustus Milverton
9,Mr. Aberforth,The Adventure of Charles Augustus Milverton
10,Lady Child,The Adventure of Charles Augustus Milverton
11,Snitch,The Adventure of Charles Augustus Milverton
12,Charles Augustus Katie,The Adventure of Charles Augustus Milverton
13,Rubeus,The Adventure of Charles Augustus Milverton
14,Leta,The Adventure of Charles Augustus Milverton
15,Countess d'Albert,The Adventure of Charles Augustus Milverton
16,Charles Katie,The Adventure of Charles Augustus Milverton
17,Mr. Yaxley,The Adventure of Charles Augustus Milverton
18,Eileen Aberforth,The Adventure of Charles Augustus Milverton
19,Yaxley,The Adventure of Charles Augustus Milverton
