node,is_victim,pagerank,victim_connection_weight,degree,strength
Dr. Watson,0,0.04071190646177367,0,2,3.0
Lady Beatrice,0,0.06666666666666667,2,1,2.0
Lady Beatrice Falder,1,0.06666666666666667,0,1,2.0
Mr. John Mason,0,0.07580721823890127,0,6,7.0
Sherlock Holmes,0,0.13367573864905236,0,8,12.0
Sir Robert,0,0.09696382613883206,0,4,7.0
Sir Robert Norberton,0,0.02177500929857982,0,1,1.0
Stephens,0,0.03355001859715963,0,1,2.0
bain,0,0.06666666666666667,0,1,1.0
denis,0,0.06616992318980688,0,6,6.0
hugos,0,0.06616992318980688,0,6,6.0
norman,0,0.06616992318980688,0,6,6.0
odos,0,0.06616992318980688,0,6,6.0
sandy,0,0.06666666666666667,0,1,1.0
william,0,0.06616992318980688,0,6,6.0
