character1,character2,count
Esher Jove,Mr. Harringby,5
Sherlock,Sherlock Garcia,4
Dr. Arthur,Sherlock Garcia,3
Constable Stone,Esher Jove,2
David,Henderson Signor,2
Doyle Signor,Henderson Signor,2
John Carruthers Eckermann,Mr. Harringby,2
David,Durando,1
David,George,1
Don,Mr. Harringby,1
Doyle Signor,Juan,1
Dr. Arthur,Esher Jove,1
Dr. Arthur,Sherlock,1
Dr. Arthur,marx,1
Esher Jove,Godspeed Murillo,1
Esher Jove,Hudson Lee,1
Esher Jove,John Carruthers Eckermann,1
Esher Jove,Lopez,1
Esher Jove,Scott Aloysius,1
Esher Jove,Sir Williams Eccles,1
George,Henderson Signor,1
Godspeed Inspector,Lopez,1
Godspeed Inspector,Sherlock Garcia,1
Godspeed Murillo,John Carruthers Eckermann,1
Godspeed Murillo,Mr. Harringby,1
Godspeed Murillo,Sherlock,1
Godspeed Murillo,Sherlock Garcia,1
Henderson Signor,Juan,1
Hudson Lee,Sir Williams Eccles,1
John,John Carruthers Eckermann,1
John Carruthers Eckermann,Sherlock Garcia,1
Lopez,Miss Lodge,1
Lopez,Mr. Harringby,1
Lopez,Scott Aloysius,1
Lopez,Wisteria,1
Miss Lodge,Wisteria,1
Mr. Harringby,Scott Aloysius,1
Sir Lucas Dolores,warner,1
