node,is_victim,pagerank,victim_connection_weight,degree,strength
Arjun,0,0.058823529411764705,0,1,1.0
Ashok Shabana,0,0.04268632043954358,0,2,3.0
Captain Vicky,0,0.058823529411764705,0,1,5.0
Dr. Fawad,0,0.058823529411764705,0,1,1.0
Inspector Stanley Keshav,0,0.060356930658252886,0,3,4.0
Lady Manju,0,0.07776146641496458,0,6,7.0
Manan Keshav,0,0.02164932508884581,0,1,1.0
Miss Ruchika Ayush,0,0.06338268872146627,0,4,6.0
Mr. Chandni Vicky,0,0.058823529411764705,0,1,5.0
Ruchika,0,0.08539907372786859,0,6,8.0
Sherlock Aishwarya,0,0.08662214526462717,0,4,7.0
Sir Rajkummar,0,0.05624116352198881,3,2,4.0
Sir Rajkummar Manju,1,0.04467926415220324,0,1,3.0
Taapsee,0,0.05543600676198446,0,2,4.0
Taapsee Wright,0,0.0441655147517834,0,1,3.0
abbey,0,0.06316299142470612,0,4,6.0
grange,0,0.06316299142470612,0,4,6.0
