char_id,name,story_title
1,Holmes,The Adventure of the Abbey Grange
2,Watson,The Adventure of the Abbey Grange
3,Hopkins,The Adventure of the Abbey Grange
4,Eustace,The Adventure of the Abbey Grange
5,Sir Eustace,The Adventure of the Abbey Grange
6,Stanley Hopkins,The Adventure of the Abbey Grange
7,Lewisham gang,The Adventure of the Abbey Grange
8,Randall,The Adventure of the Abbey Grange
9,Sir Eustace Brackenstall,The Adventure of the Abbey Grange
10,Lady Brackenstall,The Adventure of the Abbey Grange
11,Mr. Hopkins,The Adventure of the Abbey Grange
12,Theresa,The Adventure of the Abbey Grange
13,Mr. Holmes,The Adventure of the Abbey Grange
14,Miss Mary Fraser,The Adventure of the Abbey Grange
15,Theresa Wright,The Adventure of the Abbey Grange
16,friend,The Adventure of the Abbey Grange
17,Mr. Jack Crocker,The Adventure of the Abbey Grange
18,Miss Fraser,The Adventure of the Abbey Grange
19,Inspector Stanley Hopkins,The Adventure of the Abbey Grange
20,Captain Crocker,The Adventure of the Abbey Grange
21,Mary Fraser,The Adventure of the Abbey Grange
22,Mary,The Adventure of the Abbey Grange
23,Crocker,The Adventure of the Abbey Grange
