node,is_victim,pagerank,victim_connection_weight,degree,strength
Alexander Zhang,1,0.08324075566710036,0,4,8.0
Aniston,0,0.03400170841454793,0,1,3.0
Cyndi,0,0.05248768784551896,0,2,4.0
Cyndi Winfrey,0,0.05248768784551896,0,2,4.0
Day,0,0.15169658026931945,1,5,18.0
Glover,0,0.11765642049734205,0,4,13.0
Kauffman,0,0.026513959455852464,0,1,2.0
Miss Zhang,0,0.03807191483289793,3,1,3.0
Sherlock Taika,0,0.06071858474898299,2,3,6.0
Sir Carrey Lively,0,0.04248409291727175,0,4,4.0
Your boy,0,0.019231338180670337,0,1,1.0
Your son,0,0.048328471925877754,0,2,5.0
my,0,0.27308079739909924,2,10,31.0
