character1,character2,count
Saket,Saket Rajesh,11
Nikita Pallavi,Sanjeev Siddharth,3
Countess of Tarun,Nikita Pallavi,2
Alok,Saket Rajesh,1
Amrita,Krish,1
Catherine Asin,Nikita Pallavi,1
Countess of Tarun,Sanjeev Siddharth,1
Irene Adler,Miss Chaitanya Shreya,1
Krish,Saket,1
Krish,Saket Rajesh,1
Mrs. Mitali,Saket Rajesh,1
Mrs. Mitali,Zara,1
Mrs. Neerja Yashwant,Saket Rajesh,1
Mrs. Neerja Yashwant,h,1
Nikita Pallavi,Saket Rajesh,1
Saket Rajesh,h,1
Salman,Sanjeev Siddharth,1
Salman,b,1
Sanjeev Siddharth,b,1
