char_id,name,story_title
1,Sherlock Holmes,The Adventure of the Blue Carbuncle
2,I,The Adventure of the Blue Carbuncle
3,Irene Adler,The Adventure of the Blue Carbuncle
4,Mary Sutherland,The Adventure of the Blue Carbuncle
5,Peterson,The Adventure of the Blue Carbuncle
6,Henry Baker,The Adventure of the Blue Carbuncle
7,Holmes,The Adventure of the Blue Carbuncle
8,Watson,The Adventure of the Blue Carbuncle
9,The Countess of Morcar,The Adventure of the Blue Carbuncle
10,John Horner,The Adventure of the Blue Carbuncle
11,James Ryder,The Adventure of the Blue Carbuncle
12,Catherine Cusack,The Adventure of the Blue Carbuncle
13,Inspector Bradstreet,The Adventure of the Blue Carbuncle
14,Mr. Henry Baker,The Adventure of the Blue Carbuncle
15,Horner,The Adventure of the Blue Carbuncle
16,Baker,The Adventure of the Blue Carbuncle
17,Mrs. Hudson,The Adventure of the Blue Carbuncle
18,Mr. Baker,The Adventure of the Blue Carbuncle
19,Windigate,The Adventure of the Blue Carbuncle
20,Breckinridge,The Adventure of the Blue Carbuncle
21,Bill,The Adventure of the Blue Carbuncle
22,Mr. Cocksure,The Adventure of the Blue Carbuncle
23,Mrs. Oakshott,The Adventure of the Blue Carbuncle
24,Mr. Windigate,The Adventure of the Blue Carbuncle
25,atson,The Adventure of the Blue Carbuncle
26,John Robinson,The Adventure of the Blue Carbuncle
27,Ryder,The Adventure of the Blue Carbuncle
28,Oakshott,The Adventure of the Blue Carbuncle
29,Maudsley,The Adventure of the Blue Carbuncle
30,Jem,The Adventure of the Blue Carbuncle
31,Maggie,The Adventure of the Blue Carbuncle
32,Kilburn,The Adventure of the Blue Carbuncle
