canonical_name,alias_name
Miss Sutherland Hudson,
Mrs. Oakshott Maggie,
Mrs. Oakshott Maggie,Maggie
Mrs. Oakshott Maggie,Oakshott Maggie
Mr. Oakshott Maggie,
Mr. Oakshott Maggie,Mr. Maggie
Windigate Ryder,
Windigate Ryder,Ryder
Windigate Ryder,Mr. Ryder
Maggie Oakshott,
Maggie Oakshott,Mr. Oakshott
Catherine Jem,
Catherine Jem,Jem
John Cusack,
John Cusack,Cusack
Mary Baker,
Mary Baker,Baker
Mary Baker,Baker'
Mary Baker,Mr. Baker
John James,
H. B.,
Inspector Sherlock,
Mrs. Robinson,
Mrs. Robinson,Robinson
Mr. Maudsley,
Bradstreet,
Mr. Holmes,
Mrs. Jove,
Catherine,
Cocksure,
Morcar,
Christ,
Horner,
Henry,
Bill,
peterson,
bakers,
watson,
breckinridge,
