node,is_victim,pagerank,victim_connection_weight,degree,strength
Admiral Ruchika,0,0.04672581665454769,0,4,8.0
Anirudh,0,0.014222114782543292,0,1,1.0
Brother Esha,0,0.08749800471354484,1,6,20.0
Chitrangada,0,0.030785889995042635,0,3,3.0
Colonel Sagar,0,0.05164109257205188,0,4,9.0
Colonel Sagar Sunny,0,0.05576891258076207,0,5,10.0
Esha Rajat,0,0.07345280237835841,0,5,17.0
Farhan Anjali,0,0.030785889995042635,0,3,3.0
Keshav,0,0.0333139773109324,0,3,4.0
Louis La Rothière,0,0.030785889995042635,0,3,3.0
Mr. Meenal Akshara,0,0.05103755345851526,1,7,7.0
Neerja,0,0.047619047619047616,0,1,1.0
Niharika,0,0.029560205706673087,0,4,6.0
Niharika Rajat,0,0.10495904867319247,0,7,24.0
Ranveer,0,0.047619047619047616,0,1,1.0
Shalini,0,0.04102739577707322,0,4,9.0
Sir Darshan,0,0.07633292410260523,1,6,13.0
Sir Darshan Sunny,0,0.027107370670011982,0,1,4.0
Woolwich,0,0.06706677641373845,1,6,11.0
Zara,0,0.013760894547831429,1,1,1.0
Zara Radhika Manisha,1,0.038929344434395184,0,5,5.0
