node,is_victim,pagerank,victim_connection_weight,degree,strength
Alec,0,0.03199901174731551,2,1,2.0
Alec Fairbairn,1,0.06470286192878591,0,3,5.0
Beecher,0,0.06666666666666667,0,1,2.0
James Browner,0,0.07768478004411081,0,3,9.0
Jim,0,0.07775338643968521,0,3,9.0
Jim Browner,0,0.06872103783276694,0,2,8.0
Lestrade,0,0.0645658673209015,0,1,5.0
Mary,0,0.07576140189640107,2,3,7.0
Miss Sarah Cushing,0,0.09437321887605576,0,3,8.0
Miss Susan Cushing,0,0.02002692749666143,0,1,1.0
Sarah,0,0.13924674372667095,1,5,13.0
Sherlock Holmes,0,0.10270875958668246,0,3,8.0
Watson,0,0.020913173464180302,0,1,1.0
browners,0,0.02820949630644882,0,1,2.0
henry,0,0.06666666666666667,0,1,2.0
