char_id,name,story_title
1,Mr. Ginny Marauder,The Adventure of the Creeping Man
2,Professor Fantastic,The Adventure of the Creeping Man
3,S.H.,The Adventure of the Creeping Man
4,Crumplehorn,The Adventure of the Creeping Man
5,Marauder,The Adventure of the Creeping Man
6,I,The Adventure of the Creeping Man
7,Howler,The Adventure of the Creeping Man
8,Mr. Regulus,The Adventure of the Creeping Man
9,Dr. Crumplehorn,The Adventure of the Creeping Man
10,Mr. Marauder,The Adventure of the Creeping Man
11,Mr. Trevor Regulus,The Adventure of the Creeping Man
12,Professor Umbridge,The Adventure of the Creeping Man
13,Alice Umbridge,The Adventure of the Creeping Man
14,Platform,The Adventure of the Creeping Man
15,Professor,The Adventure of the Creeping Man
16,Regulus,The Adventure of the Creeping Man
17,Ginny Marauder,The Adventure of the Creeping Man
18,Diggory,The Adventure of the Creeping Man
19,Miss Fantastic,The Adventure of the Creeping Man
20,Fenrir,The Adventure of the Creeping Man
21,Tonks,The Adventure of the Creeping Man
22,HONOURED COLLEAGUE,The Adventure of the Creeping Man
23,Rubeus,The Adventure of the Creeping Man
