char_id,name,story_title
1,Ginny Philosopher,The Adventure of the Devil's Foot
2,Mandrake Wands,The Adventure of the Devil's Foot
3,Potter Moony,The Adventure of the Devil's Foot
4,Granger Chudley,The Adventure of the Devil's Foot
5,Philosopher I,The Adventure of the Devil's Foot
6,Mr. Tonks,The Adventure of the Devil's Foot
7,Philosopher,The Adventure of the Devil's Foot
8,Mr. Tina Hogwar,The Adventure of the Devil's Foot
9,Mr. Tina Hogwarts,The Adventure of the Devil's Foot
10,Mr. Philosopher,The Adventure of the Devil's Foot
11,Cissa,The Adventure of the Devil's Foot
12,Bellatrix,The Adventure of the Devil's Foot
13,Tina Hogwarts,The Adventure of the Devil's Foot
14,Dr. Snitch,The Adventure of the Devil's Foot
15,Mrs. Basilisk,The Adventure of the Devil's Foot
16,Mr. Hogwarts,The Adventure of the Devil's Foot
17,Find,The Adventure of the Devil's Foot
18,Miss Bellatrix Hogwarts,The Adventure of the Devil's Foot
19,Wizardry,The Adventure of the Devil's Foot
20,Dr. Severus Tournament,The Adventure of the Devil's Foot
21,Dr. Tournament,The Adventure of the Devil's Foot
22,Tonks,The Adventure of the Devil's Foot
23,Dr. Severus Tourna,The Adventure of the Devil's Foot
24,police,The Adventure of the Devil's Foot
25,Bellatrix Hogwarts,The Adventure of the Devil's Foot
26,Tina,The Adventure of the Devil's Foot
27,Hogwarts,The Adventure of the Devil's Foot
