canonical_name,alias_name
Mr. Mortimer Tregennis,
Mr. Mortimer Tregennis,Tregennis
Mr. Mortimer Tregennis,Mr. Tregennis
Mr. Mortimer Tregennis,Mortimer Tregennis
Mr. Sherlock Holmes,
Mr. Sherlock Holmes,Holmes
Mr. Sherlock Holmes,Mr. Holmes
Mr. Sherlock Holmes,Sherlock Holmes
Dr. Leon Sterndale,
Dr. Leon Sterndale,Sterndale
Dr. Leon Sterndale,Dr. Sterndale
Brenda Tregennis,
Dr. Moore Agar,
David Brannan,
Al Haines,
Mr. Roundhay,
Mr. Roundhay,Roundhay
Dr. Richards,
Mrs. Porter,
Dr. Leon,
Mortimer,
Brenda,
George,
Watson,
Owen,
arthur,
doyle,
tredannick,
wartha,
satan,
