char_id,name,story_title
1,Mortimer Al,The Adventure of the Devil's Foot
2,Brannan Leon,The Adventure of the Devil's Foot
3,Haines Richards,The Adventure of the Devil's Foot
4,Wartha Tregennis,The Adventure of the Devil's Foot
5,Agar Owen,The Adventure of the Devil's Foot
6,Dr. Agar Owen,The Adventure of the Devil's Foot
7,Tregennis,The Adventure of the Devil's Foot
8,Mr. George,The Adventure of the Devil's Foot
9,Mr. Satan Holmes,The Adventure of the Devil's Foot
10,Mr. Tregennis,The Adventure of the Devil's Foot
11,the vicar,The Adventure of the Devil's Foot
12,Moore,The Adventure of the Devil's Foot
13,Tredannick,The Adventure of the Devil's Foot
14,Watson,The Adventure of the Devil's Foot
15,Dr. Sterndale,The Adventure of the Devil's Foot
16,Mrs. Doyle,The Adventure of the Devil's Foot
17,Mr. Tredannick,The Adventure of the Devil's Foot
18,Satan Holmes,The Adventure of the Devil's Foot
19,Mr. Holmes,The Adventure of the Devil's Foot
20,David Roundhay,The Adventure of the Devil's Foot
21,Miss Watson Holmes,The Adventure of the Devil's Foot
22,Brenda,The Adventure of the Devil's Foot
23,Dr. Sherlock Arthur,The Adventure of the Devil's Foot
24,Holmes,The Adventure of the Devil's Foot
25,George,The Adventure of the Devil's Foot
26,Arthur,The Adventure of the Devil's Foot
27,Sherlock Arthur,The Adventure of the Devil's Foot
28,Porter,The Adventure of the Devil's Foot
29,Gennis,The Adventure of the Devil's Foot
30,Dr. Arthur,The Adventure of the Devil's Foot
31,Watson Holmes,The Adventure of the Devil's Foot
32,Satan,The Adventure of the Devil's Foot
