node,is_victim,pagerank,victim_connection_weight,degree,strength
Bellatrix,0,0.051575712550157284,5,5,8.0
Cissa,0,0.03579437549242712,0,2,3.0
Find,0,0.07848485074189084,2,7,8.0
Ginny Philosopher,0,0.08838810908463261,2,7,7.0
Mandrake Wands,0,0.042382194032116176,0,2,2.0
Miss Bellatrix Hogwarts,1,0.21490232620328353,25,5,56.0
Mr. Tina Hogwarts,1,0.19987271645878288,25,5,53.0
Mr. Tonks,0,0.024369390161468517,0,1,1.0
Philosopher I,0,0.042382194032116176,0,2,2.0
Tina,0,0.19987271645878288,50,5,53.0
Wizardry,0,0.021975414784341885,0,1,1.0
