char_id,name,story_title
1,Pettigrew,The Adventure of the Dying Detective
2,Andromeda,The Adventure of the Dying Detective
3,Ginny Umbridge,The Adventure of the Dying Detective
4,Sir Riddle Pomona,The Adventure of the Dying Detective
5,Mrs. Basilisk,The Adventure of the Dying Detective
6,Krum,The Adventure of the Dying Detective
7,Dr. Hat,The Adventure of the Dying Detective
8,Hat,The Adventure of the Dying Detective
9,Sir Beasts Manticore,The Adventure of the Dying Detective
10,Penrose Severus,The Adventure of the Dying Detective
11,Dr. Astoria,The Adventure of the Dying Detective
12,Mr. Hallows Prince,The Adventure of the Dying Detective
13,Krum's,The Adventure of the Dying Detective
14,Mr.,The Adventure of the Dying Detective
15,McGonagall,The Adventure of the Dying Detective
16,Inspector Mcgonagall,The Adventure of the Dying Detective
17,Burke Street,The Adventure of the Dying Detective
18,Notting Hill,The Adventure of the Dying Detective
19,Kensington,The Adventure of the Dying Detective
20,Hallows Prince,The Adventure of the Dying Detective
21,Fantastic,The Adventure of the Dying Detective
22,Mr. Wizardry Krum,The Adventure of the Dying Detective
23,Mr. Krum,The Adventure of the Dying Detective
24,Mr. Pansy,The Adventure of the Dying Detective
25,Mr. Prince,The Adventure of the Dying Detective
26,Prince,The Adventure of the Dying Detective
27,Chamber Hippogriff,The Adventure of the Dying Detective
28,Wizardry Krum,The Adventure of the Dying Detective
29,Savage,The Adventure of the Dying Detective
