char_id,name,story_title
1,David Brannan,The Adventure of the Dying Detective
2,Al Haines,The Adventure of the Dying Detective
3,Sir Arthur Conan Doyle,The Adventure of the Dying Detective
4,Mrs. Hudson,The Adventure of the Dying Detective
5,Sherlock Holmes,The Adventure of the Dying Detective
6,Dr. Watson,The Adventure of the Dying Detective
7,Holmes,The Adventure of the Dying Detective
8,Watson,The Adventure of the Dying Detective
9,Sir Jasper Meek,The Adventure of the Dying Detective
10,Penrose Fisher,The Adventure of the Dying Detective
11,Dr. Ainstree,The Adventure of the Dying Detective
12,Him,The Adventure of the Dying Detective
13,Culverton Smith,The Adventure of the Dying Detective
14,Morton,The Adventure of the Dying Detective
15,Burke,The Adventure of the Dying Detective
16,Smith,The Adventure of the Dying Detective
17,Mr. Sherlock Holmes,The Adventure of the Dying Detective
18,Mr. Holmes,The Adventure of the Dying Detective
19,Mr. Culverton Smith,The Adventure of the Dying Detective
20,Mr. Smith,The Adventure of the Dying Detective
21,Victor,The Adventure of the Dying Detective
22,Victor Savage,The Adventure of the Dying Detective
23,Savage,The Adventure of the Dying Detective
