character1,character2
King Men-her-Ra,Monsieur Akshara
Sir Madhuri Ramya,Monsieur Akshara
Captain Saira,Monsieur Akshara
Sir Nithya,Sir Nithya Ramya
Sir Nithya,Sir Madhuri Ramya
Sir Nithya Ramya,Sir Madhuri Ramya
Dr. Ayush,Sir Nithya
Dr. Ayush,Sir Nithya Ramya
Dr. Ayush,Sir Madhuri Ramya
Dr. Ayush,Captain Saira
Dr. Ayush,Monsieur Akshara
Sir Nithya,Captain Saira
Sir Nithya,Monsieur Akshara
Mr. Ronit,Dr. Deepika
Sir Nithya,Mr. Vishal
Darshan Sidharth,Dr. Deepika
Darshan Sidharth,Mr. Vishal
Dr. Deepika,Mr. Vishal
