node,is_victim,pagerank,victim_connection_weight,degree,strength
Akshara,0,0.0796568291702194,0,6,11.0
Darshan,0,0.024159455954761877,1,1,1.0
Darshan Sidharth,1,0.0695719552735306,0,3,4.0
Dr. Ayush,0,0.04648667612302548,0,5,6.0
Dr. Deepika,0,0.08008671916275684,2,4,5.0
Karan,0,0.0647301390101175,0,5,6.0
Lady Ramya,0,0.07164473436786548,0,2,11.0
Madhuri,0,0.0609469223326779,0,3,8.0
Meena,0,0.027715312496657374,0,1,2.0
Mr. Ronit,0,0.022990132677850775,0,1,1.0
Mr. Vishal,0,0.043871811923800456,1,3,3.0
Prateek,0,0.02140158226460081,0,2,2.0
Saira,0,0.034368255304866785,0,3,4.0
Sir Madhuri Ramya,0,0.18939032537695943,0,8,29.0
Sir Nithya,0,0.1004255978269197,0,6,14.0
Sir Nithya Ramya,0,0.06255355073338952,0,3,9.0
