char_id,name,story_title
1,Muskaan Yashwant,The Adventure of the Empty House
2,Sameer Sakshi,The Adventure of the Empty House
3,Edith Shreya,The Adventure of the Empty House
4,Yashwant,The Adventure of the Empty House
5,Mr. Ayush,The Adventure of the Empty House
6,Sir Asha Pavan,The Adventure of the Empty House
7,Colonel Pooja,The Adventure of the Empty House
8,Aadil Amol,The Adventure of the Empty House
9,Lord Bhumi,The Adventure of the Empty House
10,Lady Salman,The Adventure of the Empty House
11,my poor friend,The Adventure of the Empty House
12,"a tall, thin man with coloured glasses",The Adventure of the Empty House
13,Gaurav,The Adventure of the Empty House
14,Sakshi,The Adventure of the Empty House
15,Professor Richa,The Adventure of the Empty House
16,Richa,The Adventure of the Empty House
17,Professor,The Adventure of the Empty House
18,Nithya,The Adventure of the Empty House
19,Irrfan,The Adventure of the Empty House
20,Mrs. Simran,The Adventure of the Empty House
21,Monsieur Disha Surbhi,The Adventure of the Empty House
22,Vikas,The Adventure of the Empty House
23,the man,The Adventure of the Empty House
24,Lavanya,The Adventure of the Empty House
25,Colonel Rakul Pooja,The Adventure of the Empty House
26,Leena Sunny,The Adventure of the Empty House
27,Mr. Sakshi,The Adventure of the Empty House
28,Rakul Pooja,The Adventure of the Empty House
29,Pooja,The Adventure of the Empty House
30,Nithya Sakshi,The Adventure of the Empty House
31,Professor James Richa,The Adventure of the Empty House
32,Anil,The Adventure of the Empty House
33,Medha,The Adventure of the Empty House
34,Hema,The Adventure of the Empty House
35,Moran,The Adventure of the Empty House
36,Sebastian,The Adventure of the Empty House
37,Colonel,The Adventure of the Empty House
38,I,The Adventure of the Empty House
39,Mrs. Sanjay,The Adventure of the Empty House
40,Lauder,The Adventure of the Empty House
41,you,The Adventure of the Empty House
42,he,The Adventure of the Empty House
43,me,The Adventure of the Empty House
44,myself,The Adventure of the Empty House
45,the shadow,The Adventure of the Empty House
46,the lad,The Adventure of the Empty House
47,Leen,The Adventure of the Empty House
48,Mr. Sameer Sakshi,The Adventure of the Empty House
