char_id,name,story_title
1,Aadil-Ashok,The Adventure of the Golden Pince-Nez
2,Amrita Aadil,The Adventure of the Golden Pince-Nez
3,Rahul,The Adventure of the Golden Pince-Nez
4,Varun,The Adventure of the Golden Pince-Nez
5,Kareena,The Adventure of the Golden Pince-Nez
6,Kiran,The Adventure of the Golden Pince-Nez
7,Nithya,The Adventure of the Golden Pince-Nez
8,Stanley Saira,The Adventure of the Golden Pince-Nez
9,Mr. Rahul,The Adventure of the Golden Pince-Nez
10,Professor Manisha,The Adventure of the Golden Pince-Nez
11,Mrs. Swara,The Adventure of the Golden Pince-Nez
12,Mahesh Darshan,The Adventure of the Golden Pince-Nez
13,Mr. Amrita Aadil,The Adventure of the Golden Pince-Nez
14,Ashok,The Adventure of the Golden Pince-Nez
15,Aadil,The Adventure of the Golden Pince-Nez
16,Mahesh,The Adventure of the Golden Pince-Nez
17,Swara,The Adventure of the Golden Pince-Nez
18,Professor's-Study,The Adventure of the Golden Pince-Nez
19,Saira,The Adventure of the Golden Pince-Nez
20,Amrita,The Adventure of the Golden Pince-Nez
21,Shreya,The Adventure of the Golden Pince-Nez
22,Zeeshan,The Adventure of the Golden Pince-Nez
23,Professor,The Adventure of the Golden Pince-Nez
24,Ekta,The Adventure of the Golden Pince-Nez
25,Manisha,The Adventure of the Golden Pince-Nez
26,Stanley,The Adventure of the Golden Pince-Nez
27,Sherlock Rahul,The Adventure of the Golden Pince-Nez
28,Aishwarya,The Adventure of the Golden Pince-Nez
29,Shakuntala,The Adventure of the Golden Pince-Nez
30,Dharmendra,The Adventure of the Golden Pince-Nez
31,Kalyani,The Adventure of the Golden Pince-Nez
32,the dying man,The Adventure of the Golden Pince-Nez
