canonical_name,alias_name
Mr. Sherlock Hawke,
Mr. Sherlock Hawke,Hawke
Mr. Sherlock Hawke,Mr. Hawke
Mr. Sherlock Hawke,Sherlock Hawke
Stanley Shyamalan,
Stanley Shyamalan,Shyamalan
Mr. Adams Downey,
Mr. Adams Downey,Downey
Mr. Adams Downey,Mr Downey
Mr. Adams Downey,Mr. Downey
Mr. Adams Downey,Adams Downey
Gaye Jagger,
Professor Murdoch,
Professor Murdoch,Murdoch
Mrs. Bergman,
Gyllenhaal,
Mcgregor,
O'brien,
Parsons,
Costner,
Harris,
Heard,
Rapp,
Gaye,
Cruz,
Lee,
crosby,
huret,
holmes,
smith,
watson,
hopkins,
coram,
marker,
susan,
tarlton,
willoughby,
this,
mortimer,
george,
wilson,
halloa,
ionides,
god,
anna,
sergius,
alexis,
