node,is_victim,pagerank,victim_connection_weight,degree,strength
Costner,0,0.036778856668078674,0,1,2.0
Gaye,0,0.06800542537615953,0,2,3.0
Gaye Jagger,0,0.04925281159534954,0,1,2.0
Harris,0,0.049717416570125184,1,3,3.0
Heard,0,0.07260387927704058,1,4,4.0
Lee,0,0.07142857142857142,0,1,2.0
Mcgregor,0,0.024733107374203853,0,1,1.0
Mr. Adams Downey,1,0.07885816123369978,0,4,5.0
Mr. Sherlock Hawke,0,0.1478203745970583,1,5,10.0
O'brien,0,0.023746571191182196,0,1,1.0
Professor Murdoch,0,0.039174512003914246,0,2,2.0
Rapp,0,0.07142857142857142,0,1,2.0
Stanley Shyamalan,0,0.08246426509289796,0,3,5.0
this,0,0.18398747616314728,2,7,12.0
