char_id,name,story_title
1,Dr. Watson,The Adventure of the Mazarin Stone
2,Billy,The Adventure of the Mazarin Stone
3,Holmes,The Adventure of the Mazarin Stone
4,Mrs. Hudson,The Adventure of the Mazarin Stone
5,Prime Minister,The Adventure of the Mazarin Stone
6,Mr. Holmes,The Adventure of the Mazarin Stone
7,Lord Cantlemere,The Adventure of the Mazarin Stone
8,Home Secretary,The Adventure of the Mazarin Stone
9,Watson,The Adventure of the Mazarin Stone
10,Sylvius,The Adventure of the Mazarin Stone
11,Mazarin,The Adventure of the Mazarin Stone
12,Sam Merton,The Adventure of the Mazarin Stone
13,Count Negretto Sylvius,The Adventure of the Mazarin Stone
14,Straubenzee,The Adventure of the Mazarin Stone
15,Youghal,The Adventure of the Mazarin Stone
16,Count Sylvius,The Adventure of the Mazarin Stone
17,Count,The Adventure of the Mazarin Stone
18,Tavernier,The Adventure of the Mazarin Stone
19,Ikey Sanders,The Adventure of the Mazarin Stone
20,Merton,The Adventure of the Mazarin Stone
21,Madame Tussaud,The Adventure of the Mazarin Stone
22,The Count,The Adventure of the Mazarin Stone
23,Van Seddar,The Adventure of the Mazarin Stone
