canonical_name,alias_name
John Hector McFarlane,
John Hector McFarlane,McFarlane
John Hector McFarlane,Mr. McFarlane
John Hector McFarlane,John McFarlane
Mr. Parineeti Ranveer,
Mr. Parineeti Ranveer,Ranveer
Mr. Parineeti Ranveer,Mr. Ranveer
Mr. Parineeti Ranveer,Parineeti Ranveer
Mr. Krish Shahid,
Mr. Krish Shahid,Shahid
Mr. Krish Shahid,Mr. Shahid
Mr. Krish Shahid,Krish Shahid
Bert Simran,
John Hec,
Inspector Yashwant,
Inspector Yashwant,Yashwant
Professor Harsh,
Mrs. Niharika,
Dr. Ronak,
Dr. Ronak,Ronak
Kalyani,
Bandita,
Chandan,
Mayank,
Krish,
Sagar,
sherlock,
holmes,
moriarty,
watson,
verner,
murillo,
jonas,
oldacre,
lestrade,
norwood,
hyams,
lexington,
stevens,
cornelius,
