char_id,name,story_title
1,Mr. Sutherland Downey,The Adventure of the Second Stain
2,Lord Meryl,The Adventure of the Second Stain
3,Brooks Knightley,The Adventure of the Second Stain
4,Mr. Downey,The Adventure of the Second Stain
5,the Premier,The Adventure of the Second Stain
6,the European Secretary,The Adventure of the Second Stain
7,the Prime Minister,The Adventure of the Second Stain
8,Sutherland Downey,The Adventure of the Second Stain
9,Premier,The Adventure of the Second Stain
10,Dr. Theron,The Adventure of the Second Stain
11,Downey,The Adventure of the Second Stain
12,Mr. Brooks Knightley,The Adventure of the Second Stain
13,The Premier,The Adventure of the Second Stain
14,Knightley,The Adventure of the Second Stain
15,Carpenter,The Adventure of the Second Stain
16,Barbra Goodman,The Adventure of the Second Stain
17,Sandler Johansson,The Adventure of the Second Stain
18,Ba,The Adventure of the Second Stain
19,Mr. Johansson,The Adventure of the Second Stain
20,Police-constable Barrett,The Adventure of the Second Stain
21,Theron,The Adventure of the Second Stain
22,Godolphin Street,The Adventure of the Second Stain
23,Whitehall Terrace,The Adventure of the Second Stain
24,Johansson,The Adventure of the Second Stain
25,Mrs. Page,The Adventure of the Second Stain
26,Taika,The Adventure of the Second Stain
27,Lady Benning Brooks Knightley,The Adventure of the Second Stain
28,Duke of Belminster,The Adventure of the Second Stain
29,Madam,The Adventure of the Second Stain
30,madam,The Adventure of the Second Stain
31,John Cruz,The Adventure of the Second Stain
32,Inspector Blythe,The Adventure of the Second Stain
33,Mr. Sandler Johansson,The Adventure of the Second Stain
34,Mme Connelly,The Adventure of the Second Stain
35,Blythe,The Adventure of the Second Stain
36,nacy,The Adventure of the Second Stain
37,Deschanel,The Adventure of the Second Stain
38,MacPherson,The Adventure of the Second Stain
39,Constable MacPherson,The Adventure of the Second Stain
40,Constable,The Adventure of the Second Stain
41,Sovereign,The Adventure of the Second Stain
42,Prime Minister,The Adventure of the Second Stain
43,Lady Benning,The Adventure of the Second Stain
44,Cage,The Adventure of the Second Stain
45,Lord Merrow,The Adventure of the Second Stain
46,Sir Streep Tyrese,The Adventure of the Second Stain
47,Belgrade,The Adventure of the Second Stain
48,Madrid,The Adventure of the Second Stain
49,Lord Kidman,The Adventure of the Second Stain
50,Benning,The Adventure of the Second Stain
