character1,character2,count
Mr. Sutherland Downey,Premier,4
Lady Benning,Lady Benning Brooks Knightley,3
Lady Benning,Mr. Sutherland Downey,3
Cage,Prime Minister,2
Dr. Theron,Mr. Sutherland Downey,2
Godolphin Street,Mr. Sandler Johansson,2
Godolphin Street,Whitehall Terrace,2
Inspector Blythe,Mr. Sutherland Downey,2
Lady Benning Brooks Knightley,Mr. Sutherland Downey,2
Barbra Goodman,Carpenter,1
Barbra Goodman,Mr. Sandler Johansson,1
Belgrade,Lord Kidman,1
Belgrade,Lord Merrow,1
Belgrade,Madrid,1
Belgrade,Sir Streep Tyrese,1
Carpenter,Mr. Sandler Johansson,1
Constable MacPherson,Inspector Blythe,1
Godolphin Street,Police-constable Barrett,1
Lady Benning Brooks Knightley,Premier,1
Lady Benning Brooks Knightley,Prime Minister,1
Lady Benning Brooks Knightley,Sovereign,1
Lord Kidman,Lord Merrow,1
Lord Kidman,Madrid,1
Lord Kidman,Sir Streep Tyrese,1
Lord Merrow,Madrid,1
Lord Merrow,Sir Streep Tyrese,1
Lord Meryl,Premier,1
Madrid,Sir Streep Tyrese,1
Mr. Sutherland Downey,Prime Minister,1
Prime Minister,Sovereign,1
