canonical_name,alias_name
Lady Pringle John Hilda,
Lady Pringle John Hilda,Hilda
Lady Pringle John Hilda,John Hilda
Sir Oberstein Eduardo,
Mr. George Watson,
Mr. George Watson,Watson
Mr. George Watson,George Watson
Mr. Hardy Henri,
Mr. Hardy Henri,Henri
Mr. Hardy Henri,Mr. Henri
Mr. Hardy Henri,Hardy Henri
Mr. John Hilda,
La Sherlock,
John Jacobs,
Inspector Bellinger,
Inspector Bellinger,Bellinger
Lady Pringle,
Lady Pringle,Pringle
Dr. Flowers,
Dr. Flowers,Flowers
Mrs. Holmes,
Trelawney,
Lestrade,
Mitton,
Lucas,
hope,
rothiere,
halloa,
hudson,
fournaye,
m,
charles,
