character1,character2,count
Mr. Wayans Lewis,Wayans,11
Mr. Ronan,Ronan Brothers,5
Bonham,Diaz,3
Mr. Bradbury,Mr. Wayans Lewis,3
Bonham,Mr. Dano Elba,2
Diaz,Mr. Dano Elba,2
Dr. Ruffalo,Mr. Dano Elba,2
Bonham,Dr. Ruffalo,1
Bonham,Gelder,1
Bonham,Mr. Bradbury,1
Bonham,Mr. Ronan,1
Bonham,Ronan Brothers,1
Diaz,Mr. Ronan,1
Diaz,Ronan Brothers,1
Dr. Bean,Gelder,1
Dr. Bean,Mr. Wayans Lewis,1
Gelder,Tyson,1
Mr. Bradbury,Wayans,1
Mr. Dano Elba,Mr. Ronan,1
Mr. Dano Elba,Mr. Wayans Lewis,1
Mr. Dano Elba,Ronan Brothers,1
Mr. Ronan,Mr. Wayans Lewis,1
Mr. Ronan,Wayans,1
Mr. Wayans Lewis,Ronan Brothers,1
Perry Kutcher,Wilkins,1
Ronan Brothers,Wayans,1
Wilkins,Wilkins Kutcher,1
