char_id,name,story_title
1,Mr. Ralph Williamson,The Adventure of the Solitary Cyclist
2,Miss Sherlock Halloa,The Adventure of the Solitary Cyclist
3,Busybody Peter,The Adventure of the Solitary Cyclist
4,Williamson,The Adventure of the Solitary Cyclist
5,Kennedy,The Adventure of the Solitary Cyclist
6,Sherlock,The Adventure of the Solitary Cyclist
7,Woodley Harden,The Adventure of the Solitary Cyclist
8,Bob Halloa,The Adventure of the Solitary Cyclist
9,George Halloa,The Adventure of the Solitary Cyclist
10,Jack,The Adventure of the Solitary Cyclist
11,Jingo,The Adventure of the Solitary Cyclist
12,St,The Adventure of the Solitary Cyclist
13,Stamford,The Adventure of the Solitary Cyclist
14,Smith,The Adventure of the Solitary Cyclist
15,Carruthers,The Adventure of the Solitary Cyclist
16,Mr. Jack,The Adventure of the Solitary Cyclist
17,Mr. Jingo,The Adventure of the Solitary Cyclist
18,Mr. Williamson,The Adventure of the Solitary Cyclist
19,Halloa,The Adventure of the Solitary Cyclist
20,The young lady,The Adventure of the Solitary Cyclist
21,the man,The Adventure of the Solitary Cyclist
22,Mr. Cyril,The Adventure of the Solitary Cyclist
23,Cyril,The Adventure of the Solitary Cyclist
24,ngo,The Adventure of the Solitary Cyclist
25,Morton,The Adventure of the Solitary Cyclist
26,Sherlock Halloa,The Adventure of the Solitary Cyclist
27,Violet,The Adventure of the Solitary Cyclist
28,Watson,The Adventure of the Solitary Cyclist
29,John Jack,The Adventure of the Solitary Cyclist
30,Ralph Williamson,The Adventure of the Solitary Cyclist
31,Farnham Williamson,The Adventure of the Solitary Cyclist
32,Miss Halloa,The Adventure of the Solitary Cyclist
33,Stamford Smith,The Adventure of the Solitary Cyclist
