canonical_name,alias_name
Major-General Ollivander,
Miss Ollivander,
Mrs. Ollivander,
Miss Centaur Ollivander,
Miss Centaur Ollivander,Centaur Ollivander
Dr. Severus Ravenclaw,
Dr. Severus Ravenclaw,Dr. Ravenclaw
Voldemort Petunia,
Boggart Teddy,
Boggart Teddy,Teddy
Boggart Teddy,Mr. Teddy
Find Horklump,
Mrs. Tournament,
Cattermole,
Witchcraft,
Mrs. James,
Mrs. James,James
Dr Binns,
Dr Binns,Binns
Centaur,
Dobby,
sherlock,
holmes,
grimesby,
watson,
hudson,
farintosh,
helen,
stoner,
roylotts,
roylott,
julia,
honoria,
westphail,
armitage,
percy,
stoke,
moran,
harrow,
palmer,
pritchard,
