node,is_victim,pagerank,victim_connection_weight,degree,strength
Adam Nicholson,0,0.04285529341571469,0,2,2.0
Bonham,0,0.024161606903393404,1,1,1.0
Bonham Redford,1,0.0869797452788531,0,3,5.0
Dr. O'brien,0,0.06035075989668539,0,2,3.0
Eastwood,0,0.0625,0,1,3.0
Gad,0,0.0625,0,1,3.0
Gadot,0,0.10034684891637202,2,3,6.0
Gadot Redford,0,0.06737939326286972,2,2,4.0
Grant Hutton,0,0.025756156741535963,0,1,1.0
Jett,0,0.0814732706410487,0,2,8.0
Jett Dano,0,0.05301336467947567,0,2,5.0
Meryl,0,0.08043927510009513,0,3,3.0
Meryl Glover,0,0.032165233908645084,0,1,1.0
Mr. Barrymore Scott,0,0.13490045266719025,0,5,7.0
Mullen,0,0.05301336467947567,0,2,5.0
Parsons,0,0.032165233908645084,0,1,1.0
