char_id,name,story_title
1,Mr. Sherlock Holmes,The Adventure of the Three Gables
2,Masser Holmes,The Adventure of the Three Gables
3,Steve Dixie,The Adventure of the Three Gables
4,Perkins,The Adventure of the Three Gables
5,Barney Stockdale,The Adventure of the Three Gables
6,Harrow,The Adventure of the Three Gables
7,Holmes,The Adventure of the Three Gables
8,Watson,The Adventure of the Three Gables
9,Barney,The Adventure of the Three Gables
10,Mortimer Maberley,The Adventure of the Three Gables
11,Mary Maberley,The Adventure of the Three Gables
12,holmes,The Adventure of the Three Gables
13,douglas maberley,The Adventure of the Three Gables
14,Mr. Sutro,The Adventure of the Three Gables
15,Susan,The Adventure of the Three Gables
16,Maberley,The Adventure of the Three Gables
17,Black Steve,The Adventure of the Three Gables
18,Dr. Watson,The Adventure of the Three Gables
19,Mr. Holmes,The Adventure of the Three Gables
20,I,The Adventure of the Three Gables
21,Mrs. Maberley,The Adventure of the Three Gables
22,Douglas,The Adventure of the Three Gables
23,Steve (Masser Holmes),The Adventure of the Three Gables
24,Langdale Pike,The Adventure of the Three Gables
25,Steve,The Adventure of the Three Gables
26,Sutro,The Adventure of the Three Gables
27,Inspector,The Adventure of the Three Gables
28,Mary,The Adventure of the Three Gables
29,Isadora Klein,The Adventure of the Three Gables
30,Douglas Maberley,The Adventure of the Three Gables
31,Glas Maberley,The Adventure of the Three Gables
32,the Duke of Lomond,The Adventure of the Three Gables
