canonical_name,alias_name
"Issus, SON OF Cotherstone",Cotherstone
Chidforth A Spillington,Spillington
Chidforth A Spillington,Mr. Spillington
W. L. Jacobs,Jacobs
W. L. Jacobs,Mr. Jacobs
Mr. Gifford Spillington,Gifford Spillington
Mr. Gifford Spillington,MR. GIFFORD Spillington
Strattonporter Stilman,Stilman
Carthoris Brereton,Brereton
Carthoris Brereton,Mr. Brereton
Florence Gradston,Gradston
Gentleman Popsie,Popsie
Matthew Pilboody,Pilboody
Matthew Pilboody,Mr. Pilboody
Milford Mallows,Mallows
Milford Mallows,Mr. Mallows
Mr. Dells Susan,Susan
Mr. Dells Susan,Mr. Susan
Mr. Dells Susan,Dells Susan
Ethel Albrecht,Albrecht
Anthony Isobel,Isobel
Anthony Isobel,Mr. Isobel
Lawyer Desert,Desert
Lawyer Desert,Mr. Desert
Leykin Rellit,Rellit
Leykin Rellit,Miss Rellit
Laddie Susan,Miss Susan
Susan Martin,Mrs. Martin
Major Ethel,Ethel
John Helen,Helen
Moor Mars,Mars
Moor Mars,Mr. Mars
Mr. Harborough,Harborough
Mrs. Forester,Forester
Dr. Curwoods,Curwoods
Mr. Strawson,Strawson
Mr. Forest,Forest
Mr. Stoner,Stoner
Mr. Carter,Carter
Mr. Myler,Myler
Mr. Dells,Dells
