char_id,name,story_title
1,J. S. Fletcher,The Borough Treasurer
2,Frances Pettit,The Borough Treasurer
3,Pett Bent,The Borough Treasurer
4,Isobel,The Borough Treasurer
5,Mallows,The Borough Treasurer
6,Mr. Jacobs,The Borough Treasurer
7,Brereton,The Borough Treasurer
8,Jacobs,The Borough Treasurer
9,Rogers,The Borough Treasurer
10,Anthony Isobel,The Borough Treasurer
11,Milford Mallows,The Borough Treasurer
12,Kitely,The Borough Treasurer
13,Ingleby,The Borough Treasurer
14,Moor Mars,The Borough Treasurer
15,Mr. Spillington,The Borough Treasurer
16,Spillington,The Borough Treasurer
17,Mars,The Borough Treasurer
18,Thuvia,The Borough Treasurer
19,Chidforth A Spillington,The Borough Treasurer
20,Stobb,The Borough Treasurer
21,Mr. Mars,The Borough Treasurer
22,Doctor,The Borough Treasurer
23,ned,The Borough Treasurer
24,Dr. Curwoods,The Borough Treasurer
25,Miss Susan,The Borough Treasurer
26,Greys,The Borough Treasurer
27,Rellit,The Borough Treasurer
28,Popsie,The Borough Treasurer
29,Susan,The Borough Treasurer
30,Mr. Mallows,The Borough Treasurer
31,the sergeant,The Borough Treasurer
32,Spillin,The Borough Treasurer
33,John Rellit,The Borough Treasurer
34,Gentleman Popsie,The Borough Treasurer
35,Leykin,The Borough Treasurer
36,Carter,The Borough Treasurer
37,Forester,The Borough Treasurer
38,Mallalieu,The Borough Treasurer
39,Mallow,The Borough Treasurer
40,Mr. Carter,The Borough Treasurer
41,Norcaster,The Borough Treasurer
42,High Tardos Junction,The Borough Treasurer
43,Leykin Rellit,The Borough Treasurer
44,Miss Rellit,The Borough Treasurer
45,Dells Susan,The Borough Treasurer
46,Major Ethel,The Borough Treasurer
47,Mrs. Forester,The Borough Treasurer
48,Albrecht,The Borough Treasurer
49,superintendent,The Borough Treasurer
50,Susan (Mr. Dells Susan),The Borough Treasurer
51,Mr. Wilchester,The Borough Treasurer
52,Mr. Susan,The Borough Treasurer
53,Superintendent,The Borough Treasurer
54,Strawson,The Borough Treasurer
55,Mr. Strawson,The Borough Treasurer
56,Halo,The Borough Treasurer
57,Vicar's son,The Borough Treasurer
58,Mr. Isobel,The Borough Treasurer
59,Popsie Rellit,The Borough Treasurer
60,Mr. Dells Susan,The Borough Treasurer
61,Dodson,The Borough Treasurer
62,Fogg,The Borough Treasurer
63,Lief,The Borough Treasurer
64,Kitely Mallows,The Borough Treasurer
65,Moor,The Borough Treasurer
66,MR. GIFFORD Spillington,The Borough Treasurer
67,Herbert Brereton,The Borough Treasurer
68,Tars,The Borough Treasurer
69,Mr. Desert,The Borough Treasurer
70,Lawyer Desert,The Borough Treasurer
71,George,The Borough Treasurer
72,Bruce Gradston,The Borough Treasurer
73,Gradston,The Borough Treasurer
74,Myler,The Borough Treasurer
75,Bruce,The Borough Treasurer
76,Mr. Myler,The Borough Treasurer
77,Helen,The Borough Treasurer
78,Stilman,The Borough Treasurer
79,Gad,The Borough Treasurer
80,Pooh,The Borough Treasurer
81,Carthoris,The Borough Treasurer
82,Florence,The Borough Treasurer
83,Desert,The Borough Treasurer
84,C,The Borough Treasurer
85,Florence Gradston,The Borough Treasurer
86,Mr. Sharp-nose,The Borough Treasurer
87,Borough,The Borough Treasurer
88,Mrs. Hollings,The Borough Treasurer
89,Mr. Brereton,The Borough Treasurer
90,Curwoods,The Borough Treasurer
91,John Helen,The Borough Treasurer
92,Strattonporter Stilman,The Borough Treasurer
93,Mrs. Martin,The Borough Treasurer
94,Susan Martin,The Borough Treasurer
95,Desert Spillington,The Borough Treasurer
96,Carthoris Brereton,The Borough Treasurer
97,Dells,The Borough Treasurer
98,Zane,The Borough Treasurer
99,Laddie,The Borough Treasurer
100,Mr. Dells,The Borough Treasurer
101,Coroner,The Borough Treasurer
102,Laddie Susan,The Borough Treasurer
103,Snare,The Borough Treasurer
104,Freckles,The Borough Treasurer
105,Gifford Spillington,The Borough Treasurer
106,Mr. Gifford Spillington,The Borough Treasurer
107,Harborough,The Borough Treasurer
108,Mr. Harborough,The Borough Treasurer
109,Wraye,The Borough Treasurer
110,pillington,The Borough Treasurer
111,Pilboody,The Borough Treasurer
112,By,The Borough Treasurer
113,Matthew Pilboody,The Borough Treasurer
114,Mr. Pilboody,The Borough Treasurer
115,Mr. Stoner,The Borough Treasurer
116,Mr. Forest,The Borough Treasurer
117,Stoner,The Borough Treasurer
118,Forest,The Borough Treasurer
119,Ethel,The Borough Treasurer
120,King,The Borough Treasurer
121,the well-known barrister,The Borough Treasurer
122,Barrister,The Borough Treasurer
123,Daughter,The Borough Treasurer
124,the elder man,The Borough Treasurer
125,Baree,The Borough Treasurer
126,Mr.,The Borough Treasurer
127,Mrs.,The Borough Treasurer
128,Edgar Rice Burroughs,The Borough Treasurer
129,Tallington,The Borough Treasurer
130,Herman Star,The Borough Treasurer
131,Bert Northrop,The Borough Treasurer
132,Chidforth Star,The Borough Treasurer
133,Dick Dave,The Borough Treasurer
134,Wraythwaite Gill,The Borough Treasurer
135,Dejah Thoris,The Borough Treasurer
136,Carfax,The Borough Treasurer
137,Smith,The Borough Treasurer
138,Lady Postick,The Borough Treasurer
139,Diana Rivers,The Borough Treasurer
140,Buffalo Bill,The Borough Treasurer
141,Maria Rockcliffe,The Borough Treasurer
142,Jack Christopher,The Borough Treasurer
143,Zane Grey,The Borough Treasurer
144,Ken Ward,The Borough Treasurer
145,Chidforth,The Borough Treasurer
146,John,The Borough Treasurer
147,James Oliver Curwood,The Borough Treasurer
148,Cotherstone,The Borough Treasurer
149,"Issus, SON OF Cotherstone",The Borough Treasurer
150,Captain Milford,The Borough Treasurer
151,Marge O'Doone,The Borough Treasurer
152,Gene Stratton-Porter,The Borough Treasurer
153,Avice Featherby,The Borough Treasurer
154,Gifford Hamthwaite,The Borough Treasurer
155,W. L. Jacobs,The Borough Treasurer
156,Ethel Albrecht,The Borough Treasurer
157,James,The Borough Treasurer
158,Chidforth God,The Borough Treasurer
159,Ohalloran,The Borough Treasurer
