canonical_name,alias_name
Katie Barty Peeves,
Katie Barty Peeves,Peeves
Katie Barty Peeves,Mr Peeves
Katie Barty Peeves,Mr. Peeves
Hallows Grindelwald,
Hallows Grindelwald,Grindelwald
Hallows Grindelwald,Mr. Grindelwald
Tournament Weasley,
Tournament Weasley,Weasley
Voldemort Scorpius,
Voldemort Scorpius,Scorpius
Aberforth Bludger,
Mr. Sorting Harry,
Mr. Sorting Harry,HARRY
Mr. Sorting Harry,Harry
Mr. Sorting Harry,Mr. Harry
Mr. Sorting Harry,Sorting Harry
Quaffle Dursley,
Quaffle Dursley,Dursley
Newt Dumbledore,
Newt Dumbledore,Dumbledore
Newt Dumbledore,Mr. Dumbledore
Regulus Weasley,
Katie Lethifold,
Tonks Puffskein,
Chimaera Harry,
Chimaera Harry,Miss Harry
Mandrake Order,
Katie Kreacher,
Gilderoy Binns,
Child Marauder,
Child Marauder,Marauder
Child Marauder,Mr. Marauder
Cedric Diagon,
Katie Neville,
Katie Bludger,
Horace Crimes,
Horace Crimes,Crimes
Horace Crimes,Miss Crimes
Katie Fluffy,
Child Sprout,
Katie Bones,
Katie Colin,
Katie Dobby,
Krum Crimes,
Katie Find,
Mr. Bowtruckle,
Mrs. Platform,
Mrs. Animagus,
Mr. Graphorn,
Mr. Graphorn,Graphorn
Mr. Prisoner,
Mr. Prisoner,Prisoner
Dr. Credence,
Dr. Credence,Dr Credence
Mr. Wizardry,
Mr. Animagus,
Mr. Centaur,
Mr. Centaur,Centaur
Mr. Chudley,
Mr. Chudley,Chudley
Nymphadora,
Mcgonagall,
Cattermole,
Voldemort,
Slytherin,
Mr. Pansy,
Mr. Pansy,Pansy
Miss Krum,
Miss Krum,Krum
Mrs. Them,
Mr. Them,
Bathilda,
Mr. Leta,
Mr. Leta,Leta
Umbridge,
Sorting,
Hallows,
Petunia,
Padfoot,
Regulus,
Mr. And,
Portkey,
Muggle,
Rubeus,
Cursed,
Keeper,
Dudley,
Merope,
Chaser,
Oliver,
Potion,
Fleur,
Moony,
Jacob,
Fudge,
Wands,
LILY,
Newt,
Luna,
Fred,
Tom,
Cho,
Triwizard,
Fantastic,
Prince,
Firebolt,
Snitch,
Bellatrix,
Patronus,
Sirius,
Cissa,
Alley,
Errol,
Thestral,
Draco,
Quirrell,
Stone,
Express,
Lucius,
Goblet,
Wizarding,
Malfoy,
Lovegood,
Map,
Karkaroff,
Molly,
Invisibility,
Philosopher,
Hagrid,
James,
Artifact,
Hogwarts,
Lee,
Broomstick,
Weasley's,
Peverell,
Viktor,
Black,
Witchcraft,
Where,
Chamber,
Riddle,
Seeker,
Eileen,
Ginny,
Longbottom,
