character1,character2,count
Laddie Susan,Mr. Dells Susan,170
Anthony Isobel,Milford Mallows,65
Chidforth A Spillington,Moor Mars,38
Mr. Dells,Mr. Dells Susan,37
Milford Mallows,Moor Mars,36
Anthony Isobel,Carthoris Brereton,29
By,Milford Mallows,29
By,Chidforth A Spillington,26
Milford Mallows,Mr. Jacobs,25
Carthoris Brereton,Milford Mallows,23
Anthony Isobel,By,22
By,Carthoris Brereton,22
Chidforth A Spillington,Milford Mallows,22
Kitely,Moor Mars,22
By,Mr. Jacobs,21
John Helen,Strattonporter Stilman,21
Anthony Isobel,Mr. Jacobs,19
Anthony Isobel,Mr. Dells Susan,18
Chidforth A Spillington,Leykin Rellit,18
Chidforth A Spillington,Mr. Dells Susan,18
Anthony Isobel,Laddie Susan,17
Chidforth A Spillington,Leykin,17
By,Mr. Dells Susan,16
Anthony Isobel,Mr. Carter,14
By,Laddie Susan,14
Carthoris Brereton,Mr. Jacobs,14
Chidforth A Spillington,Mr. Jacobs,13
Kitely,Milford Mallows,12
Laddie Susan,Mr. Dells,12
By,Leykin Rellit,11
Carthoris Brereton,Florence Gradston,11
Chidforth A Spillington,Mr. Desert,11
Leykin,Leykin Rellit,11
Leykin Rellit,Mr. Jacobs,11
Milford Mallows,Mr. Desert,11
Milford Mallows,Rogers,10
Moor,Moor Mars,10
Mr. Dells Susan,Mr. Jacobs,10
By,Moor Mars,9
Carthoris Brereton,Chidforth A Spillington,9
John Helen,Rogers,9
Laddie Susan,Mr. Jacobs,9
Rogers,Strattonporter Stilman,9
Anthony Isobel,Rogers,8
By,Mr. Pilboody,8
Leykin Rellit,Moor Mars,8
Leykin Rellit,Mr. Dells Susan,8
Moor Mars,Mr. Desert,8
Moor Mars,Mr. Jacobs,8
Bruce,Bruce Gradston,7
Bruce,Florence Gradston,7
Bruce Gradston,Florence Gradston,7
By,Mr. Desert,7
Laddie Susan,Leykin Rellit,7
Anthony Isobel,Chidforth A Spillington,6
Anthony Isobel,John Helen,6
Anthony Isobel,Moor Mars,6
Carthoris Brereton,Rogers,6
Chidforth A Spillington,Kitely,6
Chidforth A Spillington,Laddie Susan,6
John Helen,Milford Mallows,6
Milford Mallows,Strattonporter Stilman,6
Moor Mars,Mr. Dells Susan,6
Anthony Isobel,Leykin Rellit,5
Anthony Isobel,Strattonporter Stilman,5
By,Mr. Dells,5
Leykin,Moor Mars,5
Milford Mallows,Moor,5
Mr. Jacobs,Rogers,5
Anthony Isobel,Florence Gradston,4
Anthony Isobel,Mr. Dells,4
By,stop,4
Chidforth,Chidforth Star,4
Chidforth A Spillington,Mr. Carter,4
Chidforth A Spillington,Mr. Harborough,4
Chidforth A Spillington,Mrs. Forester,4
Leykin,Mr. Pilboody,4
Leykin,Mrs. Forester,4
Leykin Rellit,Popsie,4
Leykin Rellit,Popsie Rellit,4
Milford Mallows,m,4
Moor Mars,Thuvia,4
Mr. Forest,Mr. Stoner,4
Mr. Harborough,Mr. Stoner,4
Popsie,Popsie Rellit,4
Anthony Isobel,Mrs. Forester,3
Anthony Isobel,wood,3
Bert Northrop,Moor Mars,3
By,Ethel,3
By,Kitely,3
By,Leykin,3
By,Moor,3
By,chance,3
