canonical_name,alias_name
Miss Belinda Mary Bartholomew,
Miss Belinda Mary Bartholomew,Bartholomew
Miss Belinda Mary Bartholomew,Miss Bartholomew
Miss Belinda Mary Bartholomew,Belinda Mary Bartholomew
Hiabam Hussein Effendi,
Hiabam Hussein Effendi,Effendi
Hiabam Hussein Effendi,Hussein Effendi
Mr. T. X. Meredith,
Mr. T. X. Meredith,Meredith
Mr. T. X. Meredith,Mr. Meredith
Mr. T. X. Meredith,T. X. Meredith
Sir William Bartholomew,
Sir William Bartholomew,William Bartholomew
Lady Mary Bartholomew,
Lady Mary Bartholomew,Lady Bartholomew
Mr. Remington Kara,
Mr. Remington Kara,Kara
Mr. Remington Kara,Mr. Kara
Mr. Remington Kara,REMINGTON KARA
Mr. Remington Kara,Remington Kara
Sir Julius Waglite,
George Gathercole,
George Gathercole,Gathercole
George Gathercole,Mr. Gathercole
Sir George Haley,
George Grossmith,
George Porten,
Harry Gilcott,
Grace Terrell,
Henry Gratham,
Belinda Mary,
Harry Carter,
Tommy Xavier,
Grace Lexman,
Grace Lexman,Lexman
Mrs. Lexman,
Mr. Lexman,
John Lexman,
John Lexman,JOHN LEXMAN
Belinda Ann,
Fred Fisher,
Fred Fisher,Fisher
Fred Fisher,Mr. Fisher
Bill Morgan,
Larry Green,
Hakaat Bey,
Kara Rumo,
De Mainau,
Mary Ann,
B. M.,
T. X.,
T. X.,Doctor X
T. X.,T.X.
Superintendent Mansus,
Superintendent Mansus,MANSUS
Superintendent Mansus,Mansus
Mr. Vassalaro,
Mr. Vassalaro,Vassalaro
Mrs. Cassley,
Mrs. Cassley,Cassley
Dr. Williams,
Miss Holland,
Miss Holland,Holland
Sir William,
Sir George,
Mrs. Beale,
Mr. Mansus,
Poropulos,
Carlneau,
Savorsky,
Salvolio,
Abigail,
Belinda,
Savolio,
Villari,
O'Grady,
Hussein,
Briggs,
Watson,
Goole,
Tommy,
Grace,
Pinot,
Smith,
Brown,
Nero,
John,
Papa,
Joe,
edgar,
wallace,
chandler,
roman,
jove,
g,
thomas,
doctor,
chubb,
vitriol,
patagonia,
hullo,
god,
jacks,
signor,
coselli,
durazzo,
marie,
theressa,
chillon,
scutari,
buenos,
ayres,
