character1,character2,count
Grace Lexman,John,95
Grace Lexman,John Lexman,94
John,John Lexman,94
Belinda,Belinda Mary,39
Lady Mary Bartholomew,Miss Belinda Mary Bartholomew,15
Fred Fisher,Mr. Remington Kara,13
Grace Lexman,Mr. Remington Kara,13
Grace,Grace Lexman,11
Hiabam Hussein Effendi,Hussein,9
Belinda,Miss Belinda Mary Bartholomew,8
Belinda Mary,Miss Belinda Mary Bartholomew,8
John,Mr. Remington Kara,8
George Gathercole,Mr. Remington Kara,7
Mr. Remington Kara,Superintendent Mansus,6
Grace,Mr. Remington Kara,5
John Lexman,Mr. Remington Kara,4
Miss Belinda Mary Bartholomew,Mr. Remington Kara,4
Hiabam Hussein Effendi,durazzo,3
Hussein,durazzo,3
Mr. Remington Kara,Salvolio,3
Mr. Remington Kara,durazzo,3
Belinda,Mr. Remington Kara,2
Belinda Mary,Mr. Remington Kara,2
Brown,Mr. Remington Kara,2
Grace Lexman,Mr. Vassalaro,2
Grace Lexman,Superintendent Mansus,2
Hiabam Hussein Effendi,god,2
Hussein,god,2
John,Mr. Vassalaro,2
John Lexman,Mr. Vassalaro,2
Miss Belinda Mary Bartholomew,Sir William Bartholomew,2
Miss Holland,Mr. Remington Kara,2
Mr. Remington Kara,Mr. T. X. Meredith,2
Mr. Remington Kara,Mr. Vassalaro,2
Salvolio,durazzo,2
edgar,wallace,2
Abigail,Miss Belinda Mary Bartholomew,1
Belinda,Belinda Ann,1
Belinda,Mrs. Cassley,1
Belinda,jacks,1
Belinda Ann,Belinda Mary,1
Belinda Mary,Mrs. Cassley,1
Belinda Mary,jacks,1
Bill Morgan,Harry Carter,1
Briggs,Grace Lexman,1
De Mainau,O'Grady,1
Fred Fisher,George Gathercole,1
Fred Fisher,Miss Holland,1
Fred Fisher,patagonia,1
George Gathercole,Grace Lexman,1
George Gathercole,John,1
George Gathercole,Mr. T. X. Meredith,1
George Gathercole,ayres,1
George Gathercole,buenos,1
George Gathercole,patagonia,1
Grace,Grace Terrell,1
Grace,John,1
Grace Lexman,Miss Belinda Mary Bartholomew,1
Grace Lexman,Mr. T. X. Meredith,1
Grace Lexman,Sir George,1
Grace Lexman,durazzo,1
Hiabam Hussein Effendi,marie,1
Hiabam Hussein Effendi,roman,1
Hiabam Hussein Effendi,theressa,1
Hussein,marie,1
Hussein,theressa,1
Kara Rumo,Mr. Remington Kara,1
Kara Rumo,roman,1
Lady Mary Bartholomew,Mr. Remington Kara,1
Miss Belinda Mary Bartholomew,Miss Holland,1
Miss Belinda Mary Bartholomew,Sir William,1
Miss Belinda Mary Bartholomew,jacks,1
Miss Holland,Mr. T. X. Meredith,1
Mr. Remington Kara,Poropulos,1
Mr. Remington Kara,ayres,1
Mr. Remington Kara,buenos,1
Mr. Remington Kara,god,1
Mr. Remington Kara,hullo,1
Mr. Remington Kara,roman,1
Mr. T. X. Meredith,Poropulos,1
Mr. T. X. Meredith,thomas,1
Mr. Vassalaro,Superintendent Mansus,1
Mrs. Cassley,Superintendent Mansus,1
Sir George,Sir George Haley,1
Sir William,Sir William Bartholomew,1
Superintendent Mansus,hullo,1
T. X.,doctor,1
Tommy,thomas,1
ayres,buenos,1
coselli,signor,1
doctor,durazzo,1
marie,theressa,1
