node,is_victim,pagerank,victim_connection_weight,degree,strength
Abigail,0,0.0038019576985933927,0,1,1.0
Belinda,0,0.046322645806205404,0,6,52.0
Belinda Ann,0,0.0043991087866445235,0,2,2.0
Belinda Mary,0,0.046322645806205404,0,6,52.0
Bill Morgan,0,0.019230769230769232,0,1,1.0
Briggs,0,0.003263043021424286,0,1,1.0
Brown,0,0.004546814030272715,0,1,2.0
De Mainau,0,0.019230769230769232,0,1,1.0
Fred Fisher,0,0.01828206112306075,0,4,16.0
George Gathercole,0,0.018053147469791524,0,8,14.0
Grace,0,0.014576038867230585,0,4,18.0
Grace Lexman,0,0.09928914013158249,0,12,223.0
Grace Terrell,0,0.003572907929079662,0,1,1.0
Harry Carter,0,0.019230769230769232,0,1,1.0
Hiabam Hussein Effendi,0,0.032275581639138726,0,6,17.0
Hussein,0,0.030155746964700733,0,5,16.0
John,0,0.07952589104301908,0,6,201.0
John Lexman,0,0.0748314999397519,0,4,194.0
Kara Rumo,0,0.005941315903343146,0,2,2.0
Lady Mary Bartholomew,0,0.017475849417114157,0,2,16.0
Miss Belinda Mary Bartholomew,0,0.045325391880759965,0,10,42.0
Miss Holland,0,0.008191022026107452,0,4,5.0
Mr. Remington Kara,0,0.0840870909353804,0,24,86.0
Mr. T. X. Meredith,0,0.01445807397337546,0,6,7.0
Mr. Vassalaro,0,0.007627083152380303,0,5,9.0
Mrs. Cassley,0,0.005394299101584043,0,3,3.0
O'Grady,0,0.019230769230769232,0,1,1.0
Poropulos,0,0.005471339385143083,0,2,2.0
Salvolio,0,0.008358263402010343,0,2,5.0
Sir George,0,0.00894700085545054,0,2,2.0
Sir George Haley,0,0.0066870580043849335,0,1,1.0
Sir William,0,0.005842713723006626,0,2,2.0
Sir William Bartholomew,0,0.007202501282381106,0,2,3.0
Superintendent Mansus,0,0.012878939464338752,0,5,11.0
T. X.,0,0.007427198307326565,0,1,1.0
Tommy,0,0.007603543759839284,0,1,1.0
ayres,0,0.006714145392631467,0,3,3.0
buenos,0,0.006714145392631467,0,3,3.0
coselli,0,0.019230769230769232,0,1,1.0
doctor,0,0.010688057659565424,0,2,2.0
durazzo,0,0.022789289160594316,0,6,13.0
edgar,0,0.019230769230769232,0,1,2.0
god,0,0.010148016465406922,0,3,5.0
hullo,0,0.0047109050223835686,0,2,2.0
jacks,0,0.005316451100622531,0,3,3.0
marie,0,0.008512973237108671,0,3,3.0
patagonia,0,0.004951941631403741,0,2,2.0
roman,0,0.007854773503209175,0,3,3.0
signor,0,0.019230769230769232,0,1,1.0
theressa,0,0.008512973237108671,0,3,3.0
thomas,0,0.011103259520553065,0,2,2.0
wallace,0,0.019230769230769232,0,1,2.0
