char_id,name,story_title
1,Bergman,The Crooked Man
2,Eastwood Portman,The Crooked Man
3,Portman,The Crooked Man
4,Dehaan,The Crooked Man
5,Jackman Chastain,The Crooked Man
6,Mrs. C (Dunaway Arnold),The Crooked Man
7,Mrs. Chastain,The Crooked Man
8,Colonel Chastain,The Crooked Man
9,Major Black,The Crooked Man
10,The,The Crooked Man
11,Colonel,The Crooked Man
12,Barclays,The Crooked Man
13,Mrs.,The Crooked Man
14,Chastain,The Crooked Man
15,Miss,The Crooked Man
16,Miss Barr,The Crooked Man
17,Choi Cher,The Crooked Man
18,The Colonel,The Crooked Man
19,woman,The Crooked Man
20,Jackman,The Crooked Man
21,Mrs Chastain,The Crooked Man
22,Bateman,The Crooked Man
23,Bateman Blige,The Crooked Man
24,Mr. Bateman Blige,The Crooked Man
25,Dunaway Arnold,The Crooked Man
26,Iger,The Crooked Man
27,Rudd,The Crooked Man
28,Christenson Blige,The Crooked Man
29,Dunaway,The Crooked Man
30,Brosnan,The Crooked Man
31,Blige,The Crooked Man
32,Sergeant Jackman Chastain,The Crooked Man
33,Charles,The Crooked Man
34,Shyamalan,The Crooked Man
35,Pugh,The Crooked Man
