character1,character2
Monsieur Narcissa,Monsieur le Député Order
Mr. Diggory,Bludger Arsène Wizarding
Mr. Diggory,Mr. Graphorn
Mr. Graphorn,Mr. Diggory
Mr. Graphorn,Bludger Arsène Wizarding
Mr. Diggory,Monsieur le Député Order
Monsieur le Député Order,Mr. Graphorn
Monsieur Narcissa,Bludger Arsène Wizarding
Monsieur le Député Order,Bludger Arsène Wizarding
Chief-inspector Find,Monsieur le Député Order
Chief-inspector Find,Bludger Arsène Wizarding
Hermione Bathilda,Monsieur Narcissa
Hermione Bathilda,Monsieur le Député Order
Hermione Bathilda,Mme. Alexis Order
Monsieur Narcissa,Mme. Alexis Order
Monsieur le Député Order,Mme. Alexis Order
Chief-inspector Find,Monsieur Narcissa
Mr. Graphorn,Monsieur le Député Order
Monsieur le secrétaire;-général,Monsieur Narcissa
Monsieur le secrétaire;-général,Bludger Arsène Wizarding
Chief-inspector Find,Mr. Diggory
Chief-inspector Find,Mr. Graphorn
Monsieur Narcissa,Lily Aberforth
Monsieur le Député Order,Lily Aberforth
Monsieur le secrétaire;-général,Monsieur le Député Order
Monsieur le secrétaire;-général,Marauder. Phoenix
Monsieur le secrétaire;-général,Lily Aberforth
Marauder. Phoenix,Lily Aberforth
Monsieur Narcissa,Marauder. Phoenix
Marauder. Phoenix,Bludger Arsène Wizarding
Marauder. Phoenix,Monsieur le Député Order
Mr. Graphorn,Hermione Bathilda
Hermione Bathilda,Bludger Arsène Wizarding
Mr. Diggory,Monsieur Narcissa
Hermione Bathilda,Mr. Diggory
Monsieur Narcissa,Basilisk Jacob
Mr. Graphorn,Marauder. Phoenix
Mr. Diggory,Marauder. Phoenix
Monsieur le Député Order,Bludger Pettigrew
Hermione Bathilda,Basilisk Jacob
Monsieur le Député Order,Basilisk Jacob
Bludger Arsène Wizarding,Basilisk Jacob
Marauder. Phoenix,Basilisk Jacob
