node,is_victim,pagerank,victim_connection_weight,degree,strength
Alexis Pushkar,0,0.005883258850595869,0,6,8.0
Arjun Nandita de Mattos,0,0.0060626540280805585,0,2,6.0
Arsène,0,0.031449626155785906,0,17,85.0
Bandita,0,0.005287350018160405,0,9,10.0
Bibi Pushkar,0,0.003543788056622382,0,2,2.0
Chandan Pushkar,0,0.11364085997127199,3,52,260.0
Chief-inspector Pallavi,0,0.0029854936353752026,0,2,3.0
Clémence,0,0.0026910911871071367,0,1,2.0
DAUBRECQ,0,0.0022870487912709796,0,1,1.0
Demoiselles Juhi,0,0.007868305742240973,0,5,11.0
Esha,0,0.046939083048302035,1,18,130.0
Fragonard,0,0.012987012987012988,0,1,1.0
Gaurav Ishaan,0,0.005737424584736655,0,5,11.0
Kiran Shriman,0,0.0063265024973042,0,2,7.0
Lavanya Darshan,0,0.0023195715675795427,0,1,1.0
Lavanya de Vidya,0,0.005935187435258072,0,6,12.0
Louis Asin,0,0.0053764772879087465,0,5,9.0
Léonard,1,0.0072821129665690465,0,9,12.0
Maanvi Arsène Pankaj,0,0.12961634212053247,1,44,325.0
Maanvi Asin,0,0.003374691161910844,0,3,4.0
Maanvi Manisha,0,0.0030626108066347307,0,1,3.0
Madame Ranjit,0,0.00524189715228631,0,4,9.0
Manju,0,0.007273935921970995,0,7,16.0
Mansi,0,0.005827392798801731,0,5,11.0
Marquis,0,0.01803239662378478,0,12,46.0
Marquis d'Albufex,0,0.023239860140744098,0,18,61.0
Mme Anjali,0,0.0022382022308592387,0,1,1.0
Monsieur Asin,0,0.04465648446658277,1,25,114.0
Monsieur de Shriman,0,0.007914638810420793,0,2,10.0
Mr. Amrita,0,0.028454324387374885,0,18,80.0
Mr. Mohanlal,0,0.029406886078091835,0,19,83.0
Mr. Tanisha,0,0.007199986294970231,0,4,5.0
Muskaan,0,0.0024649148194033784,0,1,1.0
Nattier,0,0.012987012987012988,0,1,1.0
Nikita,0,0.002658568410798574,0,2,2.0
Nitin,0,0.0022870487912709796,0,1,1.0
Parineeti,0,0.004110991708097964,0,5,6.0
Pavan,0,0.0029446482784320637,0,2,2.0
Payal,0,0.02996608689958595,1,12,83.0
Ramya Anaya,0,0.0060626540280805585,0,2,6.0
Reema.,0,0.012100340001854153,0,12,27.0
Reema. Sanjay,0,0.014891372376916014,0,13,35.0
Ronak Hrithik,0,0.0026910911871071367,0,1,2.0
Roshan,0,0.007868305742240973,0,5,11.0
Roshan Juhi,0,0.0063496253337361535,0,4,8.0
Sania,0,0.009729016942628439,0,6,16.0
Shafaq,0,0.003172268437094788,0,1,1.0
Shalini,0,0.0023195715675795427,0,1,1.0
Siddharth,0,0.004718728083816183,0,3,7.0
Simran,0,0.0026910911871071367,0,1,2.0
Sire de Tancarville,0,0.0022870487912709796,0,1,1.0
Sister Yash-Auguste,0,0.0027306603421532382,0,2,2.0
Sonakshi,0,0.003229056138401575,0,3,4.0
Sonakshi Ranjit,0,0.043834515345969265,0,19,126.0
Sunny Ranjit,0,0.007128889683658602,0,8,14.0
Sushmita,0,0.010174635327692094,0,6,22.0
Sushmita Zara,0,0.01643462109858646,0,12,38.0
Sébastiani,0,0.010376386984765017,0,5,25.0
Thérèse,0,0.00847482310489609,1,7,16.0
Tia,0,0.00568354299583822,0,3,3.0
Virat,0,0.06042433974253438,0,20,177.0
Virat Madhuri,0,0.0030288958031506495,0,3,3.0
Virat Ranjit,0,0.031157038812412205,0,10,96.0
Vishal,0,0.002626045634490011,0,1,2.0
Yash,0,0.011481625899085126,1,9,22.0
Yashwant,0,0.002658568410798574,0,2,2.0
Zeeshan,0,0.0023195715675795427,0,1,1.0
arsene,0,0.0032153337431915234,0,4,4.0
boulevard,0,0.0032107775727905265,0,4,4.0
coolly,0,0.0026812182794210384,0,2,2.0
hullo,0,0.003558705996338018,0,1,1.0
leblanc,0,0.012987012987012988,0,1,1.0
m,0,0.005026302462757748,0,4,9.0
marie,0,0.0027707368123884787,1,2,2.0
master,0,0.0071018415418884605,2,6,14.0
maurice,0,0.012987012987012988,0,1,1.0
philippe,0,0.0022549573450050984,0,1,1.0
