char_id,name,story_title
1,Maurice LeBlanc,The Crystal Stopper
2,Langeroux Nicole,The Crystal Stopper
3,Comte,The Crystal Stopper
4,Clarisse,The Crystal Stopper
5,John,The Crystal Stopper
6,Arsène John,The Crystal Stopper
7,Boulevard,The Crystal Stopper
8,Arsene,The Crystal Stopper
9,Polonius,The Crystal Stopper
10,Stanislas,The Crystal Stopper
11,Laybach,The Crystal Stopper
12,Léonard,The Crystal Stopper
13,Alexis,The Crystal Stopper
14,Percier-Fontaine,The Crystal Stopper
15,Gouttières,The Crystal Stopper
16,Fragonard,The Crystal Stopper
17,Nattier,The Crystal Stopper
18,Aubusson,The Crystal Stopper
19,Monsieur,The Crystal Stopper
20,Clémence,The Crystal Stopper
21,Gilbert,The Crystal Stopper
22,Bonaparte,The Crystal Stopper
23,Mr. Bonaparte,The Crystal Stopper
24,Daisy Monsieur,The Crystal Stopper
25,DAUBRECQ,The Crystal Stopper
26,Langeroux Laybach,The Crystal Stopper
27,Napoleon Lorraine,The Crystal Stopper
28,Victoire,The Crystal Stopper
29,Achille,The Crystal Stopper
30,Dachaumont Growler,The Crystal Stopper
31,Vorenglade Antoine de Mattos,The Crystal Stopper
32,Victorien Bibi,The Crystal Stopper
33,Deibler,The Crystal Stopper
34,Achille Laybach,The Crystal Stopper
35,Sebastiani,The Crystal Stopper
36,Michel,The Crystal Stopper
37,Lupins,The Crystal Stopper
38,Marquis d'Albufex,The Crystal Stopper
39,Prince Comte,The Crystal Stopper
40,Saulevat,The Crystal Stopper
41,Arsène,The Crystal Stopper
42,gray-haired lady,The Crystal Stopper
43,Jacob,The Crystal Stopper
44,Louis,The Crystal Stopper
45,Rousselot,The Crystal Stopper
46,Cap,The Crystal Stopper
47,Quixote Cap,The Crystal Stopper
48,Louis Monsieur,The Crystal Stopper
49,Alexis Laybach,The Crystal Stopper
50,Hamlet,The Crystal Stopper
51,Leblanc Cap,The Crystal Stopper
52,Ixote Cap,The Crystal Stopper
53,Quixote,The Crystal Stopper
54,Daubreco,The Crystal Stopper
55,Madame Cap,The Crystal Stopper
56,Audran,The Crystal Stopper
57,Leblanc,The Crystal Stopper
58,she,The Crystal Stopper
59,Enghien,The Crystal Stopper
60,Arsene John,The Crystal Stopper
61,Dr. Jupiter,The Crystal Stopper
62,Louis XIV,The Crystal Stopper
63,Announce,The Crystal Stopper
64,Mme. Cap,The Crystal Stopper
65,Daisy John,The Crystal Stopper
66,Bibi Laybach,The Crystal Stopper
67,Dalbufex,The Crystal Stopper
68,Don Hullo,The Crystal Stopper
69,Mme. Alexis Laybach,The Crystal Stopper
70,Olle,The Crystal Stopper
71,Monsieur le secrétaire;général,The Crystal Stopper
72,Neuilly,The Crystal Stopper
73,Jacques Lartigue,The Crystal Stopper
74,Achille Blanchon,The Crystal Stopper
75,Monsieur le secrétaire;-général,The Crystal Stopper
76,Achille. Blanchon,The Crystal Stopper
77,Mme. Cap. Leblanc,The Crystal Stopper
78,Blanchon,The Crystal Stopper
79,d'Albufex,The Crystal Stopper
80,Duc de Lothario,The Crystal Stopper
81,Daubrecq,The Crystal Stopper
82,Philippe Raspail,The Crystal Stopper
83,Sébastiani,The Crystal Stopper
84,Teixeira,The Crystal Stopper
85,Mortepierre,The Crystal Stopper
86,Lothario,The Crystal Stopper
87,Aumale Station,The Crystal Stopper
88,Sébastiani's sons,The Crystal Stopper
89,Sire de Tancarville,The Crystal Stopper
90,Marquis,The Crystal Stopper
91,D'Albufex,The Crystal Stopper
92,Leonard,The Crystal Stopper
93,monsieur le marquis,The Crystal Stopper
94,Philippe,The Crystal Stopper
95,Monsieur le député,The Crystal Stopper
96,Monsieur le marquis,The Crystal Stopper
97,Raspail,The Crystal Stopper
98,Daisy Arsène John,The Crystal Stopper
99,Bonel,The Crystal Stopper
100,Arsène John's,The Crystal Stopper
101,Chief-inspector Bonel,The Crystal Stopper
102,Achille. Monsieur,The Crystal Stopper
103,Edgar Allan Poe,The Crystal Stopper
104,Brindebois,The Crystal Stopper
105,Euphrasie Hercules,The Crystal Stopper
106,Mr. Boulevard,The Crystal Stopper
107,Mr. Arsene,The Crystal Stopper
108,No. 129,The Crystal Stopper
109,mademoiselle,The Crystal Stopper
110,Montmaur,The Crystal Stopper
111,Mme. Laybach,The Crystal Stopper
112,Vaucheray,The Crystal Stopper
113,Hercules,The Crystal Stopper
114,Daisy Montmaur,The Crystal Stopper
115,Maryla,The Crystal Stopper
116,Beaumont,The Crystal Stopper
117,Lupin Howard,The Crystal Stopper
118,the prefect of police,The Crystal Stopper
119,the chief-detective,The Crystal Stopper
120,monsieur le préfet,The Crystal Stopper
121,_M. Blanchon_,The Crystal Stopper
122,Mme. Cap.,The Crystal Stopper
123,Darcel,The Crystal Stopper
124,Hille Blanchon,The Crystal Stopper
125,monsieur le secrétaire;-général,The Crystal Stopper
126,Daubreco Cap,The Crystal Stopper
127,"Angélique de Sarzeau-Vendôme, Princesse de Bourbon-Condé",The Crystal Stopper
128,Sister Leonard-Auguste,The Crystal Stopper
129,Arsène Lupin,The Crystal Stopper
