canonical_name,alias_name
Dr. Woodford Freeman,
Dr. Woodford Freeman,Freeman
Dr. Woodford Freeman,Dr. Freeman
Dr. Woodford Freeman,Woodford Freeman
Dr. Chappie Artemus,
Dr. Chappie Artemus,Artemus
Dr. Chappie Artemus,Dr. Artemus
Dr. Chappie Artemus,Chappie Artemus
Dr. Jonathan Simon,
Dr. Jonathan Simon,Simon
Dr. Jonathan Simon,Dr. Simon
Dr. Jonathan Simon,Jonathan Simon
Dr. Pepys Cropper,
Dr. Pepys Cropper,Cropper
Dr. Pepys Cropper,Dr. Cropper
Julius D'Arblay,
Julius D'Arblay,Darblay
Julius D'Arblay,D'Arblay
Julius D'Arblay,J. D'Arblay
Mr. J. D'Arblay,
Mr. J. D'Arblay,Mr. D'Arblay
Miss D'Arblay,
Miss D'Arblay,Miss Darblay
Pepper Dewsnep,
Pepper Dewsnep,Dewsnep
Mrs. Dewsnep,
Mrs. Dewsnep,Mrs Dewsnep
Mr. Dewsnep',
Mr. Dewsnep',Mr Dewsnep'
Mr. Dewsnep',Mr. Dewsnep
Simon Roettier,
Slingsby Jove,
John Pylorus,
R (Barber),
Simon Gray,
Simon Gray,Gray
Simon Gray,Mr Gray
Simon Gray,Mr. Gray
J. Dewsnep,
Barber R,
Barber R,Mr. R
Barber R,Mr. R.
Superintendent Hollands,
Superintendent Hollands,Hollands
Inspector Solomon,
Inspector Solomon,Solomon
Professor Stephen,
Sergeant James,
Sergeant James,James
Dr. Diogenes,
Mr. Hollands,
Sergeant Man,
Mr. Arabella,
Miss Carolus,
Miss Carolus,Carolus
Mrs. Usher,
Miss Sarah,
Miss Sarah,Sarah
Mr. Martha,
Mr. Martha,Martha
Mr. Miller,
Mr. Miller,Miller
Dr. Porter,
Dr. Porter,Porter
Bonington,
Woodford,
Miss Van,
Miss Van,Van
Bendelow,
Bronzino,
Garroll,
Cornish,
Vandyke,
Wilson,
Pepper,
Polton,
Boler,
Susan,
Lewis,
Plonk,
Crile,
Anne,
Gawd,
Fox,
Tee,
thorndyke,
follett,
marion,
morris,
god,
daddy,
zellen,
hoxton,
darblays,
carroll,
act,
jenks,
