char_id,name,story_title
1,Garfunkel Berry,The Disappearance of Lady Frances Carfax
2,Streep Adler,The Disappearance of Lady Frances Carfax
3,Sir Saldana Bening,The Disappearance of Lady Frances Carfax
4,Mr. Roberts Young,The Disappearance of Lady Frances Carfax
5,Reynolds,The Disappearance of Lady Frances Carfax
6,Dunaway,The Disappearance of Lady Frances Carfax
7,Young,The Disappearance of Lady Frances Carfax
8,Lady Gable,The Disappearance of Lady Frances Carfax
9,Miss Crowe,The Disappearance of Lady Frances Carfax
10,Silvester's,The Disappearance of Lady Frances Carfax
11,Abrahams,The Disappearance of Lady Frances Carfax
12,M. Moser,The Disappearance of Lady Frances Carfax
13,Scott Urban,The Disappearance of Lady Frances Carfax
14,Ziegler Vibart,The Disappearance of Lady Frances Carfax
15,Ziegler Zendaya,The Disappearance of Lady Frances Carfax
16,Scott,The Disappearance of Lady Frances Carfax
17,Lady Gable Calloway,The Disappearance of Lady Frances Carfax
18,Dr. Gaye,The Disappearance of Lady Frances Carfax
19,Mrs. Gaye,The Disappearance of Lady Frances Carfax
20,Roberts Young,The Disappearance of Lady Frances Carfax
21,Philip Iger,The Disappearance of Lady Frances Carfax
22,Dr. Reynolds,The Disappearance of Lady Frances Carfax
23,Susan Crowe,The Disappearance of Lady Frances Carfax
24,Mr. Young,The Disappearance of Lady Frances Carfax
25,Old Susan Crowe,The Disappearance of Lady Frances Carfax
26,Lewis,The Disappearance of Lady Frances Carfax
27,Iger,The Disappearance of Lady Frances Carfax
28,Mrs. Day,The Disappearance of Lady Frances Carfax
29,Rev. Dr. Gaye,The Disappearance of Lady Frances Carfax
30,Walken Davidson,The Disappearance of Lady Frances Carfax
31,Murdoch,The Disappearance of Lady Frances Carfax
32,Gaye,The Disappearance of Lady Frances Carfax
33,Eastwood,The Disappearance of Lady Frances Carfax
34,Hon. Philip Iger,The Disappearance of Lady Frances Carfax
35,Mr. Iger,The Disappearance of Lady Frances Carfax
36,Mr. Davidson,The Disappearance of Lady Frances Carfax
37,Mrs. Davidson,The Disappearance of Lady Frances Carfax
38,Leto,The Disappearance of Lady Frances Carfax
39,Davidson,The Disappearance of Lady Frances Carfax
40,Rose Hanks,The Disappearance of Lady Frances Carfax
41,Dr. Dookie,The Disappearance of Lady Frances Carfax
42,Theron,The Disappearance of Lady Frances Carfax
43,Dickinson,The Disappearance of Lady Frances Carfax
44,Christian,The Disappearance of Lady Frances Carfax
