canonical_name,alias_name
Lady Spender Hudson,
Arthur Shlessinger,
Mr. Vibart Peters,
Mr. Vibart Peters,Peters
Mr. Vibart Peters,Mr. Peters
Mr. Vibart Peters,Vibart Peters
Lestrade Vibart,
Lestrade Annie,
David Peters,
Sir M Dobney,
Baden Haines,
Moser Horsom,
Moser Horsom,Horsom
Moser Horsom,Mrs. Horsom
Philip Green,
Philip Green,Green
Philip Green,Mr. Green
M. Moser,
Co Al,
Mrs. Frances,
Mrs. Frances,Frances
Lady Spender,
Shlessingers,
Dr. Stimson,
Mrs. Doyle,
Mrs. Doyle,Doyle
Dr. David,
Dr. David,David
Dr. Doyle,
Miss Holy,
Miss Holy,Holy
Sherlock,
Lausanne,
Brannan,
Carfax,
Arthur,
Watson,
Henry,
Jules,
holmes,
marie,
devine,
cook,
fraser,
god,
