node,is_victim,pagerank,victim_connection_weight,degree,strength
Arthur,0,0.07426500767456247,1,5,8.0
Arthur Shlessinger,0,0.056009001068126424,1,3,6.0
Brannan,0,0.025902109108017105,0,2,2.0
Carfax,0,0.041568989841396106,1,4,4.0
Dr. David,0,0.06516412967951662,0,3,6.0
Henry,0,0.042984492071671945,0,2,2.0
Jules,0,0.02682790193395496,0,1,2.0
Lady Spender,0,0.1765522201031371,9,10,18.0
Lady Spender Hudson,1,0.12808119251734984,0,6,14.0
Lausanne,0,0.026601378638735407,0,1,1.0
Miss Holy,0,0.01667034343624887,0,1,1.0
Moser Horsom,0,0.05664641914472775,0,4,4.0
Mr. Vibart Peters,0,0.10879109383328155,0,6,10.0
Mrs. Doyle,0,0.03928543377152159,0,3,3.0
Philip Green,0,0.01667034343624887,0,1,1.0
Sir M Dobney,0,0.024446631870128355,1,2,2.0
Watson,0,0.01667034343624887,0,1,1.0
god,0,0.056862968435126116,1,5,5.0
