canonical_name,alias_name
Bill Philo Harry Clarence,Clarence
Bill Philo Harry Clarence,Mr. Clarence
Bill Philo Harry Clarence,Harry Clarence
G. V. Wellingdale,WELLINGDALE
G. V. Wellingdale,Wellingdale
G. V. Wellingdale,Mr. Wellingdale
Hagn Bacchus Ezra,Ezra
Hagn Bacchus Ezra,Inspector Ezra
Lyme the Hallwell,Hallwell
James G. Horsham,Mr. Horsham
Mr. Bacchus Collettbanson,Collettbanson
Mr. Bacchus Collettbanson,Mr. Collettbanson
Mr. Bacchus Collettbanson,Bacchus Collettbanson
Mr. Bacchus Collettbanson,Batchus Collettbanson
Miss Dick Collettbanson,Miss Collettbanson
Miss Dick Collettbanson,DICK COLLETTBANSON
Miss Dick Collettbanson,Dick Collettbanson
Williams Collettbanson,WILLIAMS COLLETTBANSON
Philosopher Annatto,Annatto
Philosopher Annatto,Mr. Annatto
Mr. Terrace Velleco,Velleco
Mr. Terrace Velleco,Mr. Velleco
Mr. Terrace Velleco,TERRACE VELLECO
Mr. Terrace Velleco,Terrace Velleco
Meister Silenski,Silenski
Meister Silenski,Mr. Silenski
Lieutenant Bones,Bones
Miss Bones Chick,Chick
Miss Bones Chick,Miss Chick
Miss Bones Chick,Bones Chick
Monsieur Batchus,Batchus
Monsieur Batchus,Mr. Batchus
Sherlock Holmes,Holmes
Seven Carlo,Carlo
Lord Genter,Genter
King Hagn,Hagn
Great The,The
Great The,The!
Great The,Mr. The
Great The,Mr. The;
The Seven,SEVEN
The Seven,Seven
The Gill,Gill
Chief Commissioner,Commissioner
Inspector Joshua,Joshua
Inspector Jones,JONES
Inspector Jones,Jones
Mr. Ptolemy,Ptolemy
Mr. Belfin,Belfin
Mr. Carter,Carter
Mr. Saul,Saul
Raymond,RAYMOND
Harry,HARRY
