canonical_name,alias_name
Joshua Washington,
Joshua Washington,Washington
Joshua Washington,Mr. Washington
Ella Bennett,
Ward Smith,
Ward Smith,Smith
Mantania,
Thomas,
Balder,
Dick,
ten,
bones,
heine,
judgment,
bart,
london,
chick,
sandi,
maitland,
broad,
johnson,
saul,
morris,
james,
bliss,
solomon,
richard,
gordon,
elizabeth,
lizzie,
diana,
liz,
ray,
john,
philo,
maitlands,
dad,
philip,
genter,
wellingdale,
carlo,
harry,
hallwell,
jones,
frog,
elk,
lola,
bassano,
raymond,
henry,
charles,
lew,
brady,
shylock,
sherlock,
cockney,
ptolemy,
george,
napoleon,
bonaparte,
ezra,
worth,
whitehall,
moses,
whiskers,
elky,
holmes,
lester,
meister,
farmley,
frogs,
wal,
cormon,
billy,
harp,
ike,
velleco,
pheeny,
moore,
j,
lyme,
new,
m,
martin,
peace,
on,
terrace,
batchus,
bacchus,
litnov,
hagn,
elgar,
socrates,
mathusalem,
belfin,
monsieur,
mills,
brown,
rat,
l,
horsham,
god,
maclean,
angus,
jeller,
williams,
seven,
lol,
elsham,
wood,
daddy,
annatto,
jim,
carter,
matilda,
quod,
fayre,
clarence,
fielding,
mick,
mac,
collettbanson,
mud,
banson,
bron,
quinze,
kramer,
barnet,
phenan,
bill,
ibbley,
copse,
heron,
rooney,
selinski,
gill,
silenski,
whitby,
inspector,
stationmaster,
benn,
waldsen,
great,
philosopher,
hook,
