node,is_victim,pagerank,victim_connection_weight,degree,strength
Ella Bennett,0,0.00675671376676578,0,1,1.0
Joshua Washington,0,0.04979755053698519,0,10,17.0
Thomas,0,0.025186982850674704,0,7,7.0
Ward Smith,0,0.014105575826062058,0,3,4.0
bill,0,0.009246549003787574,0,2,2.0
bones,0,0.01958645174345976,0,5,5.0
broad,0,0.02168459026516425,0,4,7.0
brown,0,0.014169712209920263,0,1,4.0
dad,0,0.00666092865373313,0,1,1.0
elsham,0,0.019501570181603124,0,2,4.0
frog,0,0.051033726353521075,0,8,17.0
frogs,0,0.02169309351876964,0,4,5.0
god,0,0.00675671376676578,0,1,1.0
great,0,0.022872388819581743,0,5,7.0
hagn,0,0.011826612228428061,0,2,2.0
heine,0,0.01958645174345976,0,5,5.0
holmes,0,0.00675671376676578,0,1,1.0
inspector,0,0.041384526869973695,0,5,15.0
james,0,0.017861238712517175,0,5,5.0
judgment,0,0.022505315107497887,0,6,6.0
london,0,0.028811752245948872,0,4,10.0
m,0,0.09500612471323305,0,12,34.0
maitlands,0,0.007973389199995427,0,1,1.0
moore,0,0.009227713247817276,0,1,2.0
mud,0,0.014928935249178408,0,3,4.0
new,0,0.04279542978547253,0,6,14.0
on,0,0.23257774279948396,0,25,80.0
peace,0,0.027646594241593204,0,7,8.0
philosopher,0,0.012330501925919817,0,2,3.0
seven,0,0.011750844594225998,0,2,2.0
ten,0,0.045901647486047234,0,11,14.0
terrace,0,0.009131928134784625,0,2,2.0
whiskers,0,0.011750844594225998,0,2,2.0
wood,0,0.031965432608820024,0,5,8.0
worth,0,0.009227713247817276,0,1,2.0
