canonical_name,alias_name
Captain Colin Bathilda,
Mandrake Dungbomb,
Mandrake Dungbomb,Dungbomb
Mandrake Dungbomb,Mr. Dungbomb
Grice Umbridge,
Clark Russell,
Colonel Remus,
Colonel Remus,Remus
Eileen Remus,
Major Barty,
Major Find,
S. H.,
Mr. Broomstick,
Grindelwald,
Tournament,
Pettigrew,
Sholtos,
Quaffle,
Parvati,
Eileen,
Fudge,
sophy,
anderson,
patersons,
sherlock,
holmes,
prendergast,
john,
openshaw,
elias,
joseph,
jackson,
hood,
lee,
mary,
fordham,
k,
freebody,
hudson,
swain,
watson,
cuvier,
cook,
j,
james,
calhoun,
barque,
star,
