canonical_name,alias_name
Young Mahesh Neha,Neha
Young Mahesh Neha,Detective Neha
Chitrangada Siddharth,Siddharth
Captain Rajkummar,Rajkummar
Sir Neeraj Janhvi,Neeraj Janhvi
Sir Gaurav Vinay,Vinay
Sir Gaurav Vinay,Gaurav Vinay
Miss Saif Vinay,Miss Vinay
Miss Saif Vinay,Saif Vinay
Mr. Gauri Reema,Reema
Mr. Gauri Reema,Mr. Reema
Mr. Gauri Reema,Gauri Reema
Mrs. Vinay,Mrs Vinay
Henry Kareena,Kareena
Captain Ronak,Ronak
Teddy Ranbir,Ranbir
Urmila Arjun,Arjun
Master Krish,Krish
Master Krish,Mr. Krish
Saira Imran,Imran
Naman Sagar,Sagar
Naman Sagar,Mr. Sagar
Superintendent Sanjay,Sanjay
Inspector Fawad,Fawad
Miss Genelia,Genelia
Dr. Vikrant,Vikrant
Sergeant Om,Om
Mr. Sanjeev,Sanjeev
Sir Gaurav,Gaurav
Mr. Monali,Monali
Mrs. Om,Mrs Om
